alpha_rad,FI
5.341655543233295167e-02,2.611150560892932810e-04
6.154399930191714607e-02,2.615275551628332986e-04
6.967144317150134047e-02,2.619413684356290835e-04
7.779888704108553488e-02,2.623565021967387773e-04
8.592633091066972928e-02,2.627729627753996986e-04
9.405377478025392368e-02,2.631907565413573987e-04
1.021812186498381042e-01,2.636098899051953675e-04
1.103086625194222986e-01,3.529530569456175264e-04
1.184361063890064930e-01,3.536265136405411296e-04
1.265635502585906735e-01,3.543026032934555266e-04
1.346909941281748679e-01,3.549813415910003131e-04
1.428184379977590623e-01,3.556627443461924006e-04
1.509458818673432567e-01,3.563468287140946411e-04
1.590733257369274511e-01,3.570336107879791489e-04
1.672007696065116455e-01,6.386784255113434451e-04
1.753282134760958400e-01,6.405106100320620338e-04
1.834556573456800344e-01,6.423541093299002048e-04
1.915831012152642288e-01,6.442090449692995224e-04
1.997105450848484232e-01,6.460755167523336015e-04
2.078379889544326176e-01,6.479536383138158068e-04
2.159654328240168120e-01,5.913353159131565446e-04
2.240928766936010064e-01,5.929825269113068315e-04
2.322203205631852008e-01,5.946396826339934907e-04
2.403477644327693952e-01,5.963068774279915978e-04
2.484752083023535618e-01,5.979842173958161648e-04
2.566026521719377840e-01,5.996717911811937736e-04
2.647300960415219784e-01,6.013696986839007011e-04
2.728575399111061728e-01,8.239153857462194058e-04
2.809849837806903672e-01,8.266658487551103301e-04
2.891124276502745616e-01,8.294360246705710519e-04
2.972398715198587560e-01,8.322261337933749628e-04
3.053673153894429504e-01,8.350364088431621711e-04
3.134947592590271448e-01,8.378670698317043902e-04
3.216222031286113392e-01,8.796413155436596859e-04
3.297496469981955336e-01,8.826321319563692818e-04
3.378770908677797280e-01,8.856445498140073577e-04
3.460045347373639224e-01,8.886788123985614593e-04
3.541319786069481168e-01,8.917351681962497334e-04
3.622594224765323112e-01,8.948138751665671992e-04
3.703868663461165056e-01,8.979151780307254678e-04
3.785143102157007000e-01,1.183699878930945248e-03
3.866417540852848944e-01,1.188517915990090030e-03
3.947691979548690888e-01,1.193378150543190257e-03
4.028966418244532832e-01,1.198281136677848769e-03
4.110240856940374776e-01,1.203227467281404615e-03
4.191515295636216720e-01,1.208217751776623087e-03
4.272789734332058664e-01,1.213252595274040514e-03
4.354064173027900608e-01,2.092412251996222591e-03
4.435338611723741442e-01,2.105124428406892310e-03
4.516613050419583386e-01,2.118011379097018906e-03
4.597887489115425330e-01,2.131076962912788544e-03
4.679161927811267274e-01,2.144325186705101777e-03
4.760436366507109218e-01,2.157760188038081520e-03
4.841710805202951162e-01,3.030901371223781223e-03
4.922985243898793106e-01,3.052904147077711502e-03
5.004259682594635050e-01,3.075259217698297649e-03
5.085534121290476994e-01,3.097975520768297183e-03
5.166808559986318938e-01,3.121062252248938285e-03
5.248082998682160882e-01,3.144529195163194273e-03
5.329357437378002826e-01,3.168386017620649329e-03
5.410631876073844770e-01,3.367977017532430666e-03
5.491906314769686714e-01,3.393376434481241814e-03
5.573180753465528658e-01,3.419197390314061141e-03
5.654455192161370602e-01,3.445451006885563716e-03
5.735729630857212547e-01,3.472148730520669552e-03
5.817004069553054491e-01,3.499302742914183004e-03
5.898278508248896435e-01,3.209768518293420764e-03
5.979552946944738379e-01,3.235319771801213173e-03
6.060827385640580323e-01,3.261320738358771971e-03
6.142101824336422267e-01,3.287783910281749569e-03
6.223376263032264211e-01,3.314722374138698736e-03
6.304650701728106155e-01,3.342149645076671321e-03
6.385925140423948099e-01,3.370080122298493505e-03
6.467199579119790043e-01,3.117017906618156989e-03
6.548474017815631987e-01,3.143584754035477768e-03
6.629748456511473931e-01,3.170654757692254171e-03
6.711022895207315875e-01,3.198242996932516586e-03
6.792297333903157819e-01,3.226365304571173973e-03
6.873571772598999763e-01,3.255038095005561172e-03
6.954846211294841707e-01,5.884429508008520715e-03
7.036120649990683651e-01,5.817269724998034609e-03
7.117395088686525595e-01,5.756763466795913366e-03
7.198669527382367539e-01,5.702358641134818232e-03
7.279943966078209483e-01,5.653578327130951917e-03
7.361218404774051427e-01,5.609993384885934506e-03
7.442492843469893371e-01,5.571232596182608236e-03
7.523767282165735315e-01,1.803406489799155160e-02
7.605041720861577259e-01,1.671069879174431547e-02
7.686316159557419203e-01,1.562785417511125541e-02
7.767590598253261147e-01,1.472571017445792850e-02
7.848865036949103091e-01,1.396301955283066679e-02
7.930139475644945035e-01,1.331032565839980475e-02
8.011413914340786979e-01,1.274603173718678699e-02
8.092688353036628923e-01,1.725327190676991321e-02
8.173962791732470867e-01,1.657390504873395773e-02
8.255237230428312811e-01,1.596793463508044617e-02
8.336511669124153645e-01,1.542459710346766842e-02
8.417786107819995589e-01,1.493522062043955989e-02
8.499060546515837533e-01,1.449271447606344590e-02
8.580334985211679477e-01,2.170958583097324160e-02
8.661609423907521421e-01,2.088099299513703974e-02
8.742883862603363365e-01,2.013738194172731699e-02
8.824158301299205309e-01,1.946671981324571074e-02
8.905432739995047253e-01,1.885926071227709416e-02
8.986707178690889197e-01,1.830699816086253651e-02
9.067981617386731141e-01,1.780328508871469387e-02
9.149256056082573085e-01,2.145369528356030550e-02
9.230530494778415029e-01,2.087149237653529790e-02
9.311804933474256973e-01,2.033525980003968864e-02
9.393079372170098917e-01,1.984039058460748337e-02
9.474353810865940861e-01,1.938294055991251694e-02
9.555628249561782805e-01,1.895949754841144697e-02
9.636902688257624749e-01,1.952607617750225580e-02
9.718177126953466693e-01,1.914761405775366673e-02
9.799451565649308638e-01,1.879577582913604175e-02
9.880726004345150582e-01,1.846857912460916906e-02
9.962000443040992526e-01,1.816426849645691108e-02
1.004327488173683447e+00,1.788130796538036846e-02
1.012454932043267641e+00,1.761834390841891460e-02
1.020582375912851836e+00,1.749185984985345346e-02
1.028709819782436030e+00,1.726192132146074296e-02
1.036837263652020225e+00,1.704884068823018378e-02
1.044964707521604419e+00,1.685181994732187077e-02
1.053092151391188613e+00,1.667015996936597674e-02
1.061219595260772808e+00,1.650326346499341595e-02
1.069347039130357002e+00,1.649050949017415169e-02
1.077474482999941197e+00,1.634955844023355809e-02
1.085601926869525391e+00,1.622211190321978455e-02
1.093729370739109585e+00,1.610790665673948741e-02
1.101856814608693780e+00,1.600675435338097877e-02
1.109984258478277974e+00,1.591854020925126401e-02
1.118111702347862169e+00,1.584322767543467486e-02
1.126239146217446363e+00,1.640154326758865369e-02
1.134366590087030557e+00,1.633483210299412763e-02
1.142494033956614752e+00,1.628167308934822671e-02
1.150621477826198946e+00,1.624235462094903576e-02
1.158748921695783141e+00,1.621725837962254696e-02
1.166876365565367335e+00,1.620688094806315219e-02
1.175003809434951529e+00,1.621184430162360066e-02
1.183131253304535724e+00,1.423153683335321926e-02
1.191258697174119918e+00,1.419845524889662945e-02
1.199386141043704113e+00,1.417897170611647981e-02
1.207513584913288307e+00,1.417397278110279178e-02
1.215641028782872501e+00,1.418452201260599586e-02
1.223768472652456696e+00,1.421192878530550506e-02
1.231895916522040890e+00,1.052640249516511965e-02
1.240023360391625085e+00,1.040934259606113819e-02
1.248150804261209279e+00,1.029614230576782370e-02
1.256278248130793473e+00,1.018667017423296496e-02
1.264405692000377668e+00,1.008080309885824553e-02
1.272533135869961862e+00,9.978428428358434785e-03
1.280660579739546057e+00,9.879439667212762746e-03
1.288788023609130251e+00,8.950582962482149865e-03
1.296915467478714445e+00,8.844033819538901428e-03
1.305042911348298640e+00,8.740132286473764264e-03
1.313170355217882834e+00,8.638778674433284996e-03
1.321297799087467029e+00,8.539877609428824651e-03
1.329425242957051223e+00,8.443339829941854183e-03
1.337552686826635417e+00,8.351771105034686699e-03
1.345680130696219612e+00,8.259699432312604672e-03
1.353807574565803806e+00,8.169745734605058166e-03
1.361935018435388001e+00,8.081835811881087420e-03
1.370062462304972195e+00,7.995899358370946522e-03
1.378189906174556389e+00,7.911868755545111570e-03
1.386317350044140584e+00,7.829680523502675557e-03
1.394444793913724778e+00,7.752462327468513138e-03
1.402572237783308973e+00,7.673772813959481125e-03
1.410699681652893167e+00,7.596749589422394436e-03
1.418827125522477361e+00,7.521338946421210307e-03
1.426954569392061556e+00,7.447489810960253656e-03
1.435082013261645750e+00,7.375152839118177990e-03
1.443209457131229945e+00,6.761191853982284790e-03
1.451336901000814139e+00,6.697216211853429524e-03
1.459464344870398333e+00,6.634534912059212100e-03
1.467591788739982528e+00,6.573108583524708837e-03
1.475719232609566722e+00,6.512899438408405010e-03
1.483846676479150917e+00,6.453871365517345471e-03
1.491974120348735111e+00,6.395989337863510968e-03
1.500101564218319306e+00,5.199130346564150365e-03
1.508229008087903500e+00,5.154649455071258317e-03
1.516356451957487694e+00,5.111001037110618830e-03
1.524483895827071889e+00,5.068161673331030535e-03
1.532611339696656083e+00,5.026108821813778972e-03
1.540738783566240278e+00,4.984820902156486717e-03
1.548866227435824472e+00,4.944276844766090466e-03
1.556993671305408666e+00,4.033723597555013626e-03
1.565121115174992861e+00,4.002349510986205269e-03
1.573248559044577055e+00,3.971524766590372492e-03
1.581376002914161250e+00,3.941234933451752583e-03
1.589503446783745444e+00,3.911466091669274329e-03
1.597630890653329638e+00,3.882204752732003241e-03
1.605758334522913833e+00,2.796657614566283850e-03
1.613885778392497805e+00,2.778671811464876983e-03
1.622013222262082000e+00,2.760971113152972754e-03
1.630140666131666194e+00,2.743548923728537405e-03
1.638268110001250388e+00,2.726398835365306545e-03
1.646395553870834583e+00,2.709514745727053565e-03
1.654522997740418777e+00,2.692890584508612385e-03
1.662650441610002972e+00,1.751078775742570971e-03
1.670777885479587166e+00,1.742703264373346309e-03
1.678905329349171360e+00,1.734441206198626077e-03
1.687032773218755555e+00,1.726290545885786126e-03
1.695160217088339749e+00,1.718249260955897334e-03
1.703287660957923944e+00,1.710315469162029551e-03
1.711415104827508138e+00,1.291559681537812147e-03
1.719542548697092332e+00,1.286468388166900128e-03
1.727669992566676527e+00,1.281446625516230930e-03
1.735797436436260721e+00,1.276493223535876079e-03
1.743924880305844916e+00,1.271607052055207920e-03
1.752052324175429110e+00,1.266786991076883969e-03
1.760179768045013304e+00,1.262032006905670000e-03
1.768307211914597499e+00,1.146954147788048885e-03
1.776434655784181693e+00,1.143338346740662478e-03
1.784562099653765888e+00,1.139778529889965602e-03
1.792689543523350082e+00,1.136273821027279727e-03
1.800816987392934276e+00,1.132823368823221129e-03
1.808944431262518471e+00,1.129426341048714007e-03
1.817071875132102665e+00,1.360366856544567918e-03
1.825199319001686860e+00,1.359931718628979228e-03
1.833326762871271054e+00,1.359568298429945704e-03
1.841454206740855248e+00,1.359276357482060204e-03
1.849581650610439443e+00,1.359055672109714093e-03
1.857709094480023637e+00,1.358906061711995976e-03
1.865836538349607832e+00,1.358827371143088436e-03
1.873963982219192026e+00,1.234695318624918397e-03
1.882091426088776220e+00,1.239156699029935653e-03
1.890218869958360415e+00,1.243674937464787607e-03
1.898346313827944609e+00,1.248250856969184861e-03
1.906473757697528804e+00,1.252885284969343068e-03
1.914601201567112998e+00,1.257579087107191674e-03
1.922728645436697192e+00,1.262333148239243611e-03
1.930856089306281387e+00,1.262976703434110729e-03
1.938983533175865581e+00,1.268941112305967686e-03
1.947110977045449776e+00,1.274969024950802637e-03
1.955238420915033970e+00,1.281061515400707144e-03
1.963365864784618164e+00,1.287219664328695390e-03
1.971493308654202359e+00,1.293444597891938363e-03
1.979620752523786553e+00,1.484038275455981399e-03
1.987748196393370748e+00,1.491204672363242436e-03
1.995875640262954942e+00,1.498448390560995101e-03
2.004003084132539136e+00,1.505770789669429914e-03
2.012130528002123331e+00,1.513173221901105382e-03
2.020257971871707525e+00,1.520657059305514838e-03
2.028385415741291720e+00,1.528223730031306451e-03
2.036512859610875914e+00,1.811328555321820065e-03
2.044640303480460108e+00,1.820741473945751204e-03
2.052767747350044303e+00,1.830261255681016200e-03
2.060895191219628497e+00,1.839889844932460954e-03
2.069022635089212692e+00,1.849629189139843531e-03
2.077150078958796886e+00,1.859481268832011190e-03
2.085277522828381080e+00,2.222427344570900801e-03
2.093404966697965275e+00,2.234668910544089764e-03
2.101532410567549469e+00,2.247055873506573036e-03
2.109659854437133664e+00,2.259590885127801905e-03
2.117787298306717858e+00,2.272276754887138199e-03
2.125914742176302052e+00,2.285116313592357607e-03
2.134042186045886247e+00,2.298112481790542515e-03
2.142169629915470441e+00,2.523867595383737054e-03
2.150297073785054636e+00,2.538290562548697199e-03
2.158424517654638830e+00,2.552890688158259043e-03
2.166551961524223024e+00,2.567671333794571947e-03
2.174679405393807219e+00,2.582636046515900206e-03
2.182806849263391413e+00,2.597788402818584225e-03
2.190934293132975608e+00,2.539482652540742385e-03
2.199061737002559802e+00,2.554674396726933690e-03
2.207189180872143996e+00,2.570062062518674393e-03
2.215316624741728191e+00,2.585649656201843057e-03
2.223444068611312385e+00,2.601441195770525135e-03
2.231571512480896580e+00,2.617440923396220556e-03
2.239698956350480774e+00,2.633653126417733175e-03
2.247826400220064968e+00,2.649549153373549713e-03
2.255953844089649163e+00,2.666201195410818157e-03
2.264081287959233357e+00,2.683079374288737697e-03
2.272208731828817552e+00,2.700188566937267165e-03
2.280336175698401746e+00,2.717533678092480011e-03
2.288463619567985941e+00,2.735119887912224480e-03
2.296591063437570135e+00,2.752952445213992325e-03
2.304718507307154329e+00,2.763955067428206479e-03
2.312845951176738524e+00,2.782289960403844416e-03
2.320973395046322718e+00,2.800887949009889504e-03
2.329100838915906913e+00,2.819755037777903813e-03
2.337228282785491107e+00,2.838897283553232492e-03
2.345355726655075301e+00,2.858321086696493773e-03
2.353483170524659496e+00,2.803421642966754009e-03
2.361610614394243690e+00,2.823199762382158466e-03
2.369738058263827885e+00,2.843278177083719948e-03
2.377865502133412079e+00,2.863664072886862918e-03
2.385992946002996273e+00,2.884364925921696892e-03
2.394120389872580468e+00,2.905388301210126787e-03
2.402247833742164662e+00,2.926742199404041428e-03
2.410375277611748857e+00,3.449559726635268494e-03
2.418502721481333051e+00,3.466587230525951333e-03
2.426630165350917245e+00,3.484069436237420114e-03
