alpha_rad,FI
5.301894902236492513e-02,7.625300144438534877e-02
6.108589622096299160e-02,9.867123023324878006e-02
6.915284341956105807e-02,1.229156594120682372e-01
7.721979061815911760e-02,1.485935059224822163e-01
8.528673781675719101e-02,1.753278091656797766e-01
9.335368501535526442e-02,2.027669897723271553e-01
1.014206322139533240e-01,2.305916017208269053e-01
1.094875794125513835e-01,2.504454080384301284e-01
1.175545266111494569e-01,2.775958442654782310e-01
1.256214738097475303e-01,3.044493341547508392e-01
1.336884210083456037e-01,3.308368526438375534e-01
1.417553682069436494e-01,3.566215501150319933e-01
1.498223154055417228e-01,3.816957054854723252e-01
1.578892626041397962e-01,4.059779457471374142e-01
1.659562098027378418e-01,4.035714995938966543e-01
1.740231570013359153e-01,4.254908547201702862e-01
1.820901041999339887e-01,4.466015386969784395e-01
1.901570513985320621e-01,4.668866173945689368e-01
1.982239985971301355e-01,4.863406868319858911e-01
2.062909457957281811e-01,5.049669279037601877e-01
2.143578929943262545e-01,4.977031901782689172e-01
2.224248401929243280e-01,5.145318584445370824e-01
2.304917873915223736e-01,5.306317289835781326e-01
2.385587345901204470e-01,5.460214797380308349e-01
2.466256817887185204e-01,5.607219616345190394e-01
2.546926289873165938e-01,5.747563867053866460e-01
2.627595761859146672e-01,5.881490089331871118e-01
2.708265233845127407e-01,5.885631379987161793e-01
2.788934705831107586e-01,6.007522234950691820e-01
2.869604177817088875e-01,6.123850524762566305e-01
2.950273649803069054e-01,6.234860015845541392e-01
3.030943121789049788e-01,6.340788328963669063e-01
3.111612593775030522e-01,6.441870998604729559e-01
3.192282065761011256e-01,6.527463430041839931e-01
3.272951537746991990e-01,6.618780857233715897e-01
3.353621009732972724e-01,6.705930154174323254e-01
3.434290481718953458e-01,6.789117371330323225e-01
3.514959953704933637e-01,6.868541661133291676e-01
3.595629425690914371e-01,6.944391931699399612e-01
3.676298897676895105e-01,7.016850177131913613e-01
3.756968369662875840e-01,7.201178045603385813e-01
3.837637841648856574e-01,7.264459570712634706e-01
3.918307313634837308e-01,7.324923008393643409e-01
3.998976785620818042e-01,7.382715602796993126e-01
