alpha_rad,FI
5.251756198649256552e-02,8.149986586639472799e-03
6.050822206852146667e-02,8.110144626860776515e-03
6.849888215055036089e-02,8.070698562465226586e-03
7.648954223257925511e-02,8.031642525483499023e-03
8.448020231460816321e-02,7.992970763323089048e-03
9.247086239663707130e-02,7.954677635947031422e-03
1.004615224786659655e-01,7.916757613134952493e-03
1.084521825606948597e-01,3.958552036309892323e-03
1.164428426427237540e-01,3.939962834299914722e-03
1.244335027247526482e-01,3.921552202669852279e-03
1.324241628067815701e-01,3.903317583208601969e-03
1.404148228888104644e-01,3.885256466330974396e-03
1.484054829708393586e-01,3.867366389930090940e-03
1.563961430528682528e-01,3.849644938256087130e-03
1.643868031348971470e-01,2.936025576186304924e-03
1.723774632169260690e-01,2.925024417871662646e-03
1.803681232989549632e-01,2.914132921553240236e-03
1.883587833809838574e-01,2.903349604907993434e-03
1.963494434630127516e-01,2.892673008517387002e-03
2.043401035450416736e-01,2.882101702180075997e-03
2.123307636270705678e-01,2.233774199983073073e-03
2.203214237090994621e-01,2.226067787655969504e-03
2.283120837911283563e-01,2.218437446924413029e-03
2.363027438731572505e-01,2.210882090276027924e-03
2.442934039551861447e-01,2.203400741514648618e-03
2.522840640372150389e-01,2.195992438459806999e-03
2.602747241192439609e-01,2.188656237942627602e-03
2.682653842012728274e-01,2.102728761415547255e-03
2.762560442833017493e-01,2.096213885679374007e-03
2.842467043653306158e-01,2.089757868853931756e-03
2.922373644473595378e-01,2.083359920583229778e-03
3.002280245293884597e-01,2.077019331151690965e-03
3.082186846114173262e-01,2.070735400123762011e-03
3.162093446934462482e-01,3.618475089952002347e-03
3.242000047754751146e-01,3.602272552240248435e-03
3.321906648575040366e-01,3.586246332315776858e-03
3.401813249395329031e-01,3.570393630520681070e-03
3.481719850215618250e-01,3.554711685418954561e-03
3.561626451035907470e-01,3.539197769700368548e-03
3.641533051856196135e-01,3.523849140702207169e-03
3.721439652676485355e-01,3.432110720823053091e-03
3.801346253496774019e-01,3.418047807614799267e-03
3.881252854317063239e-01,3.404126754715919908e-03
3.961159455137352459e-01,3.390345441786403371e-03
4.041066055957641123e-01,3.376701780537398351e-03
4.120972656777930343e-01,3.363193707508652791e-03
4.200879257598219008e-01,3.349819144657140840e-03
4.280785858418508227e-01,2.928192329437678126e-03
4.360692459238796892e-01,2.916714559334789795e-03
4.440599060059086112e-01,2.905348535833652927e-03
4.520505660879375331e-01,2.894092657020621521e-03
4.600412261699663996e-01,2.882945342118000635e-03
4.680318862519953216e-01,2.871905028597767501e-03
4.760225463340241880e-01,2.749700299403043478e-03
4.840132064160531100e-01,2.740479678275503563e-03
4.920038664980820320e-01,2.731351783326696394e-03
4.999945265801108985e-01,2.722315349211663384e-03
5.079851866621398759e-01,2.713369149829169234e-03
5.159758467441687424e-01,2.704511975215871319e-03
5.239665068261976089e-01,2.695742625212350311e-03
5.319571669082265863e-01,3.150771195292843222e-03
5.399478269902554528e-01,3.145725226475791503e-03
5.479384870722843193e-01,3.140775717390215972e-03
5.559291471543132968e-01,3.135921912517991572e-03
5.639198072363421632e-01,3.131163077631823888e-03
5.719104673183710297e-01,3.126498505885603497e-03
5.799011274004000072e-01,2.838558730768652328e-03
5.878917874824288736e-01,2.834487647649435935e-03
5.958824475644577401e-01,2.830500396803266143e-03
6.038731076464866065e-01,2.826596416467677848e-03
6.118637677285155840e-01,2.822775157196762575e-03
6.198544278105444505e-01,2.819036084771059120e-03
6.278450878925733170e-01,2.815378688976726256e-03
6.358357479746022944e-01,2.600615356068724116e-03
6.438264080566311609e-01,2.597392686206698251e-03
6.518170681386600274e-01,2.594243568852323302e-03
6.598077282206890048e-01,2.591167605440653898e-03
6.677983883027178713e-01,2.588164405974255951e-03
6.757890483847467378e-01,2.585233591154623232e-03
6.837797084667756042e-01,2.919952907803877173e-03
6.917703685488045817e-01,2.915139778210403855e-03
6.997610286308334482e-01,2.910411595649256816e-03
7.077516887128623146e-01,2.905767824163074664e-03
7.157423487948912921e-01,2.901207977992139361e-03
7.237330088769201586e-01,2.896731535979444900e-03
7.317236689589490251e-01,2.892338011005054013e-03
7.397143290409780025e-01,2.914360178304695615e-03
7.477049891230068690e-01,2.909767473519914421e-03
7.556956492050357355e-01,2.905254391410990334e-03
7.636863092870646019e-01,2.900820509113835859e-03
7.716769693690935794e-01,2.896465451420095292e-03
7.796676294511224459e-01,2.892188811876084120e-03
7.876582895331513123e-01,2.887990211548559054e-03
7.956489496151802898e-01,2.485767161410421758e-03
8.036396096972091563e-01,2.483048942118892734e-03
8.116302697792380227e-01,2.480398711378486044e-03
8.196209298612668892e-01,2.477816245010582442e-03
8.276115899432958667e-01,2.475301364068142451e-03
8.356022500253247332e-01,2.472853858240694775e-03
8.435929101073535996e-01,2.664852748583476563e-03
8.515835701893825771e-01,2.662020330071061380e-03
8.595742302714114436e-01,2.659257564816838205e-03
8.675648903534403100e-01,2.656564275150594730e-03
8.755555504354692875e-01,2.653940311038922948e-03
8.835462105174981540e-01,2.651385565883818130e-03
8.915368705995270204e-01,2.648899901474607767e-03
8.995275306815558869e-01,2.574926114551073005e-03
9.075181907635848644e-01,2.572423675503337191e-03
9.155088508456137308e-01,2.569989402258836004e-03
9.234995109276425973e-01,2.567623210643476834e-03
9.314901710096715748e-01,2.565325042297747580e-03
9.394808310917004412e-01,2.563094882683642026e-03
9.474714911737293077e-01,2.556736696682560157e-03
9.554621512557582852e-01,2.554635765030822958e-03
9.634528113377871517e-01,2.552602752087496617e-03
9.714434714198160181e-01,2.550637667377079944e-03
9.794341315018448846e-01,2.548740523941518069e-03
9.874247915838738621e-01,2.546911360046358840e-03
9.954154516659027285e-01,2.545150258900546764e-03
1.003406111747931595e+00,2.460960645523144804e-03
1.011396771829960572e+00,2.459502764187247899e-03
1.019387431911989328e+00,2.458112522481915082e-03
1.027378091994018305e+00,2.456790032781752068e-03
1.035368752076047283e+00,2.455535412683975544e-03
1.043359412158076038e+00,2.454348804128924765e-03
1.051350072240105016e+00,2.295317019986068633e-03
1.059340732322133993e+00,2.294896674717027737e-03
1.067331392404162749e+00,2.294539636511402133e-03
1.075322052486191726e+00,2.294246180186683935e-03
1.083312712568220704e+00,2.294016586569904478e-03
1.091303372650249459e+00,2.293851145790633868e-03
1.099294032732278437e+00,2.293750168678027057e-03
1.107284692814307414e+00,2.603964216674469444e-03
1.115275352896336170e+00,2.602370958707114681e-03
1.123266012978365147e+00,2.600858423685232460e-03
1.131256673060394125e+00,2.599426790043906765e-03
1.139247333142422880e+00,2.598076247597425580e-03
1.147237993224451857e+00,2.596807001300150981e-03
1.155228653306480613e+00,2.595619281618254722e-03
1.163219313388509590e+00,2.597424687929361133e-03
1.171209973470538568e+00,2.596398958085994416e-03
1.179200633552567323e+00,2.595455572969015967e-03
1.187191293634596301e+00,2.594594854208123920e-03
1.195181953716625278e+00,2.593817136734663086e-03
1.203172613798654034e+00,2.593122773130270096e-03
1.211163273880683011e+00,2.565916898805176670e-03
1.219153933962711989e+00,2.565258608269518036e-03
1.227144594044740744e+00,2.564684006215271588e-03
1.235135254126769722e+00,2.564193487430762620e-03
1.243125914208798699e+00,2.563787522204343233e-03
1.251116574290827455e+00,2.563466598980375204e-03
1.259107234372856432e+00,2.563231225938627632e-03
1.267097894454885409e+00,2.247023084381742815e-03
1.275088554536914165e+00,2.244078752501496056e-03
1.283079214618943142e+00,2.241180292703433274e-03
1.291069874700972120e+00,2.238327482292942587e-03
1.299060534783000875e+00,2.235520134259709642e-03
1.307051194865029853e+00,2.232758062314555477e-03
1.315041854947058608e+00,3.116572941294450984e-03
1.323032515029087586e+00,3.117961106908572529e-03
1.331023175111116563e+00,3.119432812998288156e-03
1.339013835193145319e+00,3.120988461047206376e-03
1.347004495275174296e+00,3.122628442219032349e-03
1.354995155357203274e+00,3.124353193127473501e-03
1.362985815439232029e+00,3.126163162216641107e-03
1.370976475521261007e+00,3.187326187651419885e-03
1.378967135603289984e+00,3.189435966670681449e-03
1.386957795685318739e+00,3.191632757815366685e-03
1.394948455767347717e+00,3.193917088418272814e-03
1.402939115849376694e+00,3.196289478467336659e-03
1.410929775931405450e+00,3.198750494372826301e-03
1.418920436013434427e+00,2.841861720907260750e-03
1.426911096095463405e+00,2.845570543344125292e-03
1.434901756177492160e+00,2.849363237902401060e-03
