alpha_rad,FI
5.248100509665958729e-02,9.366338374964797153e-02
6.046610296922440980e-02,1.231378335109714478e-01
6.845120084178923925e-02,1.560920451052477953e-01
7.643629871435406176e-02,1.922820430917590862e-01
8.442139658691888426e-02,2.314492168423545049e-01
9.240649445948370677e-02,2.733244950961733477e-01
1.003915923320485293e-01,3.176324152521509681e-01
1.083766902046133518e-01,3.832769783270716379e-01
1.163617880771781743e-01,4.338466354364433064e-01
1.243468859497429968e-01,4.860173534897606618e-01
1.323319838223078193e-01,5.395052602526049235e-01
1.403170816948726418e-01,5.940380428205925822e-01
1.483021795674374643e-01,6.493571926133741012e-01
1.562872774400022868e-01,7.052191242672407601e-01
1.642723753125671093e-01,8.012008033787939576e-01
1.722574731851319318e-01,8.595545587852057023e-01
1.802425710576967544e-01,9.177038432081241481e-01
1.882276689302615769e-01,9.754698127262789731e-01
1.962127668028263994e-01,1.032693485008757017e+00
2.041978646753912219e-01,1.089234194817064738e+00
2.121829625479560444e-01,1.189272814745760520e+00
2.201680604205208669e-01,1.245176973626567429e+00
2.281531582930856894e-01,1.299971594258838348e+00
2.361382561656505119e-01,1.353585679007101250e+00
2.441233540382153344e-01,1.405961260164633853e+00
2.521084519107801292e-01,1.457053761282769200e+00
2.600935497833449794e-01,1.506829305901043581e+00
2.680786476559097742e-01,1.603497223878167066e+00
2.760637455284746244e-01,1.650918556627731792e+00
2.840488434010394192e-01,1.696909611552534169e+00
2.920339412736042695e-01,1.741476305144360026e+00
3.000190391461690642e-01,1.784629478507986367e+00
3.080041370187339145e-01,1.826385538002108788e+00
3.159892348912987647e-01,1.919456042166449050e+00
3.239743327638635595e-01,1.958379987443356285e+00
3.319594306364283542e-01,1.995939150205489510e+00
3.399445285089932045e-01,2.032166163166152284e+00
3.479296263815580548e-01,2.067095505237265929e+00
3.559147242541228495e-01,2.100762174590849796e+00
3.638998221266876443e-01,2.133202435001452013e+00
3.718849199992524945e-01,2.214239812457396983e+00
3.798700178718173448e-01,2.243995373775567792e+00
3.878551157443821396e-01,2.272622732615389385e+00
3.958402136169469343e-01,2.300159883627984847e+00
4.038253114895117846e-01,2.326644233436523823e+00
4.118104093620766348e-01,2.352112021060581259e+00
