alpha_rad,FI
5.301654198560819264e-02,1.516108631595808054e-01
6.108312294838341705e-02,1.994022938912068388e-01
6.914970391115862758e-02,2.528812634731828490e-01
7.721628487393385198e-02,3.116655137751308535e-01
8.528286583670907639e-02,3.753483059364879915e-01
9.334944679948430080e-02,4.435046565958090659e-01
1.014160277622595252e-01,5.156974706369847894e-01
1.094826087250347357e-01,5.742717244502317797e-01
1.175491896878099601e-01,6.511253823219226300e-01
1.256157706505851845e-01,7.306693975682208020e-01
1.336823516133603951e-01,8.124892280704557601e-01
1.417489325761356334e-01,8.961818551171027991e-01
1.498155135389108439e-01,9.813593579036821168e-01
1.578820945016860544e-01,1.067650568893653951e+00
1.659486754644612927e-01,1.097912108538817266e+00
1.740152564272365032e-01,1.181847488891911491e+00
1.820818373900117138e-01,1.266011774692632263e+00
1.901484183527869520e-01,1.350131921315677275e+00
1.982149993155621903e-01,1.433955611571225530e+00
2.062815802783373731e-01,1.517251454121495202e+00
2.143481612411126114e-01,1.525694727901122816e+00
2.224147422038878497e-01,1.604535580831153219e+00
2.304813231666630324e-01,1.682414399455341991e+00
2.385479041294382707e-01,1.759181123956758075e+00
2.466144850922135090e-01,1.834701452772106611e+00
2.546810660549886918e-01,1.908857431252856784e+00
2.627476470177639301e-01,1.981545302267669673e+00
2.708142279805391683e-01,1.973878540129841097e+00
2.788808089433143511e-01,2.041711015828511666e+00
2.869473899060895894e-01,2.107952763028962728e+00
2.950139708688648277e-01,2.172546908780016217e+00
3.030805518316400105e-01,2.235445103432594394e+00
3.111471327944152487e-01,2.296608545080592645e+00
3.192137137571904870e-01,2.280753468377374471e+00
3.272802947199656698e-01,2.337393476909879642e+00
3.353468756827409081e-01,2.392298406482566975e+00
3.434134566455161464e-01,2.445452098820055209e+00
3.514800376082913291e-01,2.496844345124205056e+00
3.595466185710665674e-01,2.546468601385477371e+00
3.676131995338418057e-01,2.594323161702714042e+00
3.756797804966170440e-01,2.583946748850263209e+00
3.837463614593922268e-01,2.627896203043782464e+00
3.918129424221674650e-01,2.670120614473014520e+00
3.998795233849427033e-01,2.710626500134582617e+00
4.079461043477178861e-01,2.749422713446199928e+00
4.160126853104931244e-01,2.786519018526898872e+00
4.240792662732683627e-01,2.821927200094173305e+00
4.321458472360435454e-01,2.808347132937668356e+00
4.402124281988187837e-01,2.840241319590631530e+00
4.482790091615940220e-01,2.870499342778955132e+00
4.563455901243692048e-01,2.899133761304039769e+00
4.644121710871444431e-01,2.926157690149136847e+00
4.724787520499196813e-01,2.951583795329594917e+00
4.805453330126948641e-01,2.937303737559358474e+00
4.886119139754701024e-01,2.959454814293280833e+00
4.966784949382453407e-01,2.980048760011317022e+00
5.047450759010205790e-01,2.999096482964187071e+00
5.128116568637958173e-01,3.016608608176339246e+00
5.208782378265710555e-01,3.032595244515016386e+00
5.289448187893462938e-01,3.047065859212454431e+00
5.370113997521214211e-01,3.037130215063792882e+00
5.450779807148966594e-01,3.048607900694460859e+00
5.531445616776718976e-01,3.058596657181341882e+00
5.612111426404471359e-01,3.067102530767741975e+00
5.692777236032223742e-01,3.074130971257949430e+00
5.773443045659976125e-01,3.079686470544618082e+00
5.854108855287728508e-01,3.074535872434906114e+00
5.934774664915480891e-01,3.077270276587634967e+00
6.015440474543232163e-01,3.078545165861093391e+00
6.096106284170984546e-01,3.078361533946936124e+00
6.176772093798736929e-01,3.076719112945637491e+00
6.257437903426489312e-01,3.073616919746705367e+00
6.338103713054241695e-01,3.069052961969541027e+00
6.418769522681994077e-01,3.064767703162426304e+00
6.499435332309745350e-01,3.057642737651173004e+00
6.580101141937497733e-01,3.049060032858688540e+00
6.660766951565250116e-01,3.039014337070570004e+00
6.741432761193002499e-01,3.027499265158442032e+00
6.822098570820754881e-01,3.014507768486955896e+00
6.902764380448507264e-01,3.012007979353460208e+00
6.983430190076259647e-01,2.996664868365491508e+00
7.064095999704010920e-01,2.979843241319151570e+00
7.144761809331763303e-01,2.961533399844631376e+00
7.225427618959515685e-01,2.941725203044356363e+00
7.306093428587268068e-01,2.920407996646534610e+00
7.386759238215020451e-01,2.897570759368106152e+00
7.467425047842772834e-01,2.892857135059653917e+00
7.548090857470524107e-01,2.867909421117239788e+00
7.628756667098276489e-01,2.841438286471316133e+00
7.709422476726028872e-01,2.813432203849017821e+00
7.790088286353781255e-01,2.783879869432128285e+00
7.870754095981533638e-01,2.752770281312564293e+00
7.951419905609286021e-01,2.720092932452855106e+00
8.032085715237037293e-01,2.679199986072485107e+00
8.112751524864789676e-01,2.645338428920938956e+00
8.193417334492542059e-01,2.609950818195557964e+00
8.274083144120294442e-01,2.573031514189486835e+00
8.354748953748046825e-01,2.534576436440967750e+00
8.435414763375799208e-01,2.494583290275779852e+00
8.516080573003551590e-01,2.471207036315475669e+00
8.596746382631302863e-01,2.430765517843953116e+00
8.677412192259055246e-01,2.388867455167282383e+00
8.758078001886807629e-01,2.345519897337065451e+00
8.838743811514560011e-01,2.300732966148500314e+00
8.919409621142312394e-01,2.254520184067964728e+00
9.000075430770064777e-01,2.206898887188356362e+00
9.080741240397816050e-01,2.212720480215436769e+00
9.161407050025568433e-01,2.165526686765514519e+00
9.242072859653320815e-01,2.117059271491572137e+00
9.322738669281073198e-01,2.067349990795236625e+00
9.403404478908825581e-01,2.016435836686790051e+00
9.484070288536577964e-01,1.964359277651127389e+00
9.564736098164329237e-01,2.001622335644640316e+00
9.645401907792081619e-01,1.950833607456290864e+00
9.726067717419834002e-01,1.899056765348340781e+00
9.806733527047586385e-01,1.846350311867124505e+00
9.887399336675338768e-01,1.792779245645734765e+00
9.968065146303091151e-01,1.738415223289117240e+00
1.004873095593084242e+00,1.683336632015642875e+00
1.012939676555859370e+00,1.751937901812521625e+00
1.021006257518634719e+00,1.699084737365032183e+00
1.029072838481409846e+00,1.645719880442861438e+00
1.037139419444185195e+00,1.591934748410748446e+00
1.045206000406960323e+00,1.537827475352149920e+00
1.053272581369735450e+00,1.483502173200056395e+00
1.061339162332510799e+00,1.578243461912309797e+00
1.069405743295285927e+00,1.526396587298308516e+00
1.077472324258061276e+00,1.474495705007342394e+00
1.085538905220836403e+00,1.422650030966394974e+00
1.093605486183611530e+00,1.370972502822250361e+00
1.101672067146386880e+00,1.319580929461024121e+00
1.109738648109162007e+00,1.268595871217333526e+00
1.117805229071937356e+00,1.379023799364247571e+00
1.125871810034712484e+00,1.330371637409112129e+00
1.133938390997487833e+00,1.282203114057061999e+00
1.142004971960262960e+00,1.234631420174789440e+00
1.150071552923038087e+00,1.187769717280140469e+00
1.158138133885813437e+00,1.141732676197818153e+00
1.166204714848588564e+00,1.096633370837778010e+00
1.174271295811363913e+00,1.214037610121428745e+00
1.182337876774139040e+00,1.169936121558148745e+00
1.190404457736914168e+00,1.126729468430361703e+00
1.198471038699689517e+00,1.084517979282208167e+00
1.206537619662464644e+00,1.043398968420388595e+00
1.214604200625239994e+00,1.003468235165663192e+00
1.222670781588015121e+00,1.108709859954687404e+00
1.230737362550790470e+00,1.067758910240921066e+00
1.238803943513565597e+00,1.027890092964345525e+00
1.246870524476340725e+00,9.891899493650624375e-01
1.254937105439116074e+00,9.517411961949970856e-01
1.263003686401891201e+00,9.156234707039192511e-01
1.271070267364666551e+00,8.809131170292958668e-01
1.279136848327441678e+00,9.610967635340291748e-01
1.287203429290217027e+00,9.236705344903117787e-01
1.295270010252992154e+00,8.875232727783567421e-01
1.303336591215767282e+00,8.527307426007126878e-01
1.311403172178542631e+00,8.193647046510663667e-01
1.319469753141317758e+00,7.874952106917916250e-01
1.327536334104093108e+00,8.319012448588180009e-01
1.335602915066868235e+00,7.955590231515377031e-01
1.343669496029643584e+00,7.606528548132144296e-01
1.351736076992418711e+00,7.272662159568609175e-01
1.359802657955193839e+00,6.954833256784860307e-01
1.367869238917969188e+00,6.653863894361544684e-01
1.375935819880744315e+00,6.370584978769741058e-01
1.384002400843519665e+00,6.413413981853501866e-01
1.392068981806294792e+00,6.080491211685894459e-01
1.400135562769069919e+00,5.766371042964560933e-01
1.408202143731845268e+00,5.472186068158263472e-01
1.416268724694620396e+00,5.199080073307361660e-01
1.424335305657395745e+00,4.948186808855625785e-01
1.432401886620170872e+00,4.620489170344931895e-01
1.440468467582946221e+00,4.325389695109292942e-01
1.448535048545721349e+00,4.056138378235299435e-01
1.456601629508496476e+00,3.814203694891409868e-01
1.464668210471271825e+00,3.601014910926397805e-01
1.472734791434046953e+00,3.417941792203377793e-01
1.480801372396822302e+00,3.266276614513821674e-01
1.488867953359597429e+00,2.602467805307887017e-01
1.496934534322372778e+00,2.434168276188378999e-01
1.505001115285147906e+00,2.303278641556733841e-01
1.513067696247923033e+00,2.210983373145036790e-01
1.521134277210698382e+00,2.158271059204007192e-01
1.529200858173473510e+00,2.145901620751877736e-01
1.537267439136248859e+00,2.174400063842552855e-01
1.545334020099023986e+00,1.414786332631780275e-01
1.553400601061799113e+00,1.467945871095169275e-01
1.561467182024574463e+00,1.566776279630287816e-01
1.569533762987349590e+00,1.710847804534678107e-01
1.577600343950124939e+00,1.899392586462421151e-01
1.585666924912900067e+00,2.131308653636989070e-01
1.593733505875675416e+00,1.520389440960878413e-01
1.601800086838450543e+00,1.806242699603388957e-01
1.609866667801225670e+00,2.135169609189332685e-01
1.617933248764001020e+00,2.504765598821180328e-01
1.625999829726776147e+00,2.912380570568264271e-01
1.634066410689551496e+00,3.355158834223955222e-01
1.642132991652326623e+00,3.830090624417972767e-01
1.650199572615101973e+00,3.587132041507377633e-01
1.658266153577877100e+00,4.110390965937298913e-01
1.666332734540652227e+00,4.659215825969564295e-01
1.674399315503427577e+00,5.230174103418051557e-01
1.682465896466202704e+00,5.819892719415094007e-01
1.690532477428978053e+00,6.425087749576873231e-01
1.698599058391753180e+00,6.375918530259190309e-01
1.706665639354528308e+00,6.999881823504913170e-01
1.714732220317303657e+00,7.632076212586805797e-01
1.722798801280078784e+00,8.269686650801129080e-01
1.730865382242854134e+00,8.910094622233887263e-01
1.738931963205629261e+00,9.550892830384624110e-01
1.746998544168404610e+00,1.018988340340872156e+00
1.755065125131179737e+00,1.017650256358137772e+00
1.763131706093954865e+00,1.080048929415677872e+00
1.771198287056730214e+00,1.141859325752823562e+00
1.779264868019505341e+00,1.202933927372480838e+00
1.787331448982280691e+00,1.263143388618853891e+00
1.795398029945055818e+00,1.322375585537146181e+00
1.803464610907831167e+00,1.312610776609451246e+00
1.811531191870606294e+00,1.368937766913314036e+00
1.819597772833381422e+00,1.424149993378379664e+00
1.827664353796156771e+00,1.478186851907268506e+00
1.835730934758931898e+00,1.530999334054985672e+00
1.843797515721707247e+00,1.582548874558016960e+00
1.851864096684482375e+00,1.632806279943168848e+00
1.859930677647257502e+00,1.601751920124169448e+00
1.867997258610032851e+00,1.648527963580797451e+00
1.876063839572807979e+00,1.694068555474944393e+00
1.884130420535583328e+00,1.738368128744736785e+00
1.892197001498358455e+00,1.781426236225920334e+00
1.900263582461133804e+00,1.823246888699503243e+00
1.908330163423908932e+00,1.863837923680788489e+00
1.916396744386684059e+00,1.820146275623343302e+00
1.924463325349459408e+00,1.857519416200391182e+00
1.932529906312234536e+00,1.893783591818742673e+00
1.940596487275009885e+00,1.928953327290038322e+00
1.948663068237785012e+00,1.963044852700602805e+00
1.956729649200560361e+00,1.996075733271089225e+00
1.964796230163335489e+00,1.925182786128882606e+00
1.972862811126110616e+00,1.955282040746160188e+00
1.980929392088885965e+00,1.984450893852415021e+00
1.988995973051661093e+00,2.012706842932415974e+00
1.997062554014436442e+00,2.040067570547880127e+00
2.005129134977211791e+00,2.066551100989490131e+00
2.013195715939986918e+00,2.092175564837607915e+00
2.021262296902762046e+00,1.997324640096582726e+00
2.029328877865537173e+00,2.020560100569633644e+00
2.037395458828312744e+00,2.043048617205909245e+00
2.045462039791087872e+00,2.064805290099864798e+00
2.053528620753862999e+00,2.085844929360372912e+00
2.061595201716638570e+00,2.106182185061416412e+00
2.069661782679413697e+00,1.984587884896533927e+00
2.077728363642188825e+00,2.003034834524644925e+00
2.085794944604963952e+00,2.020867216187196114e+00
2.093861525567739079e+00,2.038096252961554278e+00
2.101928106530514651e+00,2.054732955554848139e+00
2.109994687493289778e+00,2.070787984294760964e+00
2.118061268456064905e+00,2.086271773832535370e+00
2.126127849418840032e+00,1.947360297921587380e+00
2.134194430381615160e+00,1.961327970097350271e+00
2.142261011344390731e+00,1.974789260215388254e+00
2.150327592307165858e+00,1.987751665933826795e+00
2.158394173269940985e+00,2.000222425144861038e+00
2.166460754232716113e+00,2.012208460016723155e+00
2.174527335195491240e+00,1.862130073549755682e+00
2.182593916158266811e+00,1.872945938148680378e+00
2.190660497121041939e+00,1.883322438749237548e+00
2.198727078083817066e+00,1.893264219267573045e+00
2.206793659046592193e+00,1.902775755626036291e+00
2.214860240009367764e+00,1.911861298309777579e+00
2.222926820972142892e+00,1.920524857614402947e+00
2.230993401934918019e+00,1.755960527146196881e+00
2.239059982897693146e+00,1.763690765506847224e+00
2.247126563860468274e+00,1.771029643668823761e+00
2.255193144823243845e+00,1.777979559365777229e+00
2.263259725786018972e+00,1.784542782879738221e+00
2.271326306748794099e+00,1.790721397691940053e+00
2.279392887711569227e+00,1.796517316307207013e+00
2.287459468674344354e+00,1.622521316826965876e+00
2.295526049637119925e+00,1.627610177702869754e+00
2.303592630599895053e+00,1.632334964950171052e+00
2.311659211562670180e+00,1.636696527173103766e+00
2.319725792525445307e+00,1.640695632974818130e+00
2.327792373488220434e+00,1.644332867144820520e+00
2.335858954450996006e+00,1.466556503849438142e+00
2.343925535413771133e+00,1.469628063043625144e+00
2.351992116376546260e+00,1.472349373205801726e+00
2.360058697339321387e+00,1.474720463798502745e+00
2.368125278302096959e+00,1.476741215558373455e+00
2.376191859264872086e+00,1.478411462050343017e+00
2.384258440227647213e+00,1.479730889102173874e+00
2.392325021190422341e+00,1.307026271833222397e+00
2.400391602153197468e+00,1.307884286876744406e+00
2.408458183115973039e+00,1.308400332138630828e+00
2.416524764078748166e+00,1.308573947387921654e+00
2.424591345041523294e+00,1.308404559559223967e+00
2.432657926004298421e+00,1.307891581632407041e+00
2.440724506967073548e+00,1.152807943931454471e+00
