alpha_rad,P,FI
5.342130262408541913e-02,9.445007759247084911e-01,1.028416487625190105e-02
1.354418884711660609e-01,9.337751107164985465e-01,5.433041581550993732e-02
2.174624743182466957e-01,9.214354284441064191e-01,9.769733445866157773e-02
2.994830601653273305e-01,9.023010107309046290e-01,1.488481496291391148e-01
3.815036460124079376e-01,8.475574133806388355e-01,1.736893921199740010e-01
4.635242318594885447e-01,8.393409414552058800e-01,2.096510879622708323e-01
5.455448177065692628e-01,8.059050730062992107e-01,2.206505596708998040e-01
6.275654035536498698e-01,7.776600320076089146e-01,2.440775209961622005e-01
7.095859894007304769e-01,7.569854573988480384e-01,2.523476674138360187e-01
7.916065752478110840e-01,7.241885616277882187e-01,2.722484273029546209e-01
8.736271610948916910e-01,7.030192528249367134e-01,2.914987677076921191e-01
9.556477469419724091e-01,7.000641547724102409e-01,3.195377972048231707e-01
1.037668332789053016e+00,6.807596378986736640e-01,3.671535955549492525e-01
1.119688918636133845e+00,6.912031372129341378e-01,3.774281506344817072e-01
1.201709504483214452e+00,6.905163134153307070e-01,4.266709941571505404e-01
1.283730090330295059e+00,6.866662345282006363e-01,5.210299781465528302e-01
1.365750676177375666e+00,6.480065640801289106e-01,5.724156180610527889e-01
1.447771262024456274e+00,6.345383120359872064e-01,6.735786855500490722e-01
1.529791847871536881e+00,6.025767656879392753e-01,7.116357860862007056e-01
1.611812433718617488e+00,5.638936633336252280e-01,7.801026067416627630e-01
1.693833019565698095e+00,5.062281668558068493e-01,7.949022159619975048e-01
1.775853605412778924e+00,4.660521127863287982e-01,8.136274448003153470e-01
1.857874191259859531e+00,4.145324394846482963e-01,8.024969462117818031e-01
1.939894777106940138e+00,3.468462171523976068e-01,7.709149071595472469e-01
2.021915362954020523e+00,3.111779053298175945e-01,7.355133854383979486e-01
2.103935948801101574e+00,2.634924123137716290e-01,6.594818995696399844e-01
2.185956534648182181e+00,2.299449184000328938e-01,6.032205915332206070e-01
2.267977120495262788e+00,2.026011706044175686e-01,4.936088591675304449e-01
2.349997706342343395e+00,1.914929199205320509e-01,4.221969703957372255e-01
2.432018292189424002e+00,2.098572554221569963e-01,3.230400429039642085e-01
2.514038878036504610e+00,1.995642070860241812e-01,2.611054908034963762e-01
2.596059463883585217e+00,1.942437583311260041e-01,2.168193146787442960e-01
2.678080049730665824e+00,2.117715761941385277e-01,1.438341592494542243e-01
2.760100635577746431e+00,2.059555682471860549e-01,9.861523612935720051e-02
2.842121221424827038e+00,2.011729813362358177e-01,5.892347696159531967e-02
2.924141807271907645e+00,1.723233353689166414e-01,3.257524787501580449e-02
3.006162393118988252e+00,1.556883187661954604e-01,1.484041983153919046e-02
3.088182978966068859e+00,1.367263811022347009e-01,2.735278002312168527e-03
3.170203564813149466e+00,1.026641888958584187e-01,1.204299630405791409e-03
3.252224150660230073e+00,1.015451577480765005e-01,2.175121298937958761e-02
3.334244736507310680e+00,7.242246406520018442e-02,9.544903603320110952e-02
3.416265322354391731e+00,6.738062781138993984e-02,1.912435976108314284e-01
3.498285908201472338e+00,5.422320499748291972e-02,3.114865555589654278e-01
3.580306494048552945e+00,7.517341935057061941e-02,4.009723957772376446e-01
3.662327079895633553e+00,8.855422548891229984e-02,4.770348256375058771e-01
3.744347665742714160e+00,1.248993212065113573e-01,5.646316949930326734e-01
3.826368251589794767e+00,1.556834069025255229e-01,6.253211033107785033e-01
3.908388837436875374e+00,1.783452272304933417e-01,6.860614586417254079e-01
3.990409423283955981e+00,2.451603565013625308e-01,7.197136975108522350e-01
4.072430009131036144e+00,2.770835056119810291e-01,7.141645168685425427e-01
4.154450594978117195e+00,3.325931968425242524e-01,7.087381027282567691e-01
4.236471180825197358e+00,3.772874665007029393e-01,6.423470384577492087e-01
4.318491766672278409e+00,3.869014875897626715e-01,6.102592405405453668e-01
4.400512352519358572e+00,3.863994616681622474e-01,5.338739935777012668e-01
4.482532938366439623e+00,4.191399118406934354e-01,5.108098543692696225e-01
4.564553524213519786e+00,4.339530165276944684e-01,4.826546379469036085e-01
4.646574110060600837e+00,4.300971994467048254e-01,4.865310976582279401e-01
4.728594695907681000e+00,4.419496753404031919e-01,5.322251284766927881e-01
4.810615281754762051e+00,4.559437759896113329e-01,6.124068292807279823e-01
4.892635867601842214e+00,4.816869954046658631e-01,6.478364886366776432e-01
4.974656453448923266e+00,5.138275374999966560e-01,7.308742250654721717e-01
5.056677039296003429e+00,5.508341781744382493e-01,7.491721739549026537e-01
5.138697625143084480e+00,6.003670814147954449e-01,7.841727666294676657e-01
5.220718210990164643e+00,6.519311442389832401e-01,7.720967628074485445e-01
5.302738796837245694e+00,7.003499621776266837e-01,7.470015656848348895e-01
5.384759382684326745e+00,7.525462605423310913e-01,7.020698728940718558e-01
5.466779968531406908e+00,7.814661197780358171e-01,6.260196145774812315e-01
5.548800554378487959e+00,8.224344036420693227e-01,5.630377390332835796e-01
5.630821140225568122e+00,8.485324384766971262e-01,4.759979495628866575e-01
5.712841726072649173e+00,8.767769458668240867e-01,4.106425781274316011e-01
5.794862311919729336e+00,8.810587732014283358e-01,3.202288565647883334e-01
5.876882897766810387e+00,8.850000248002499736e-01,1.935568854377958670e-01
5.958903483613890550e+00,8.537439414225987955e-01,1.110437573265725258e-01
6.040924069460971602e+00,8.292759273141959708e-01,4.311938361154893373e-02
6.122944655308051765e+00,8.335645381550834676e-01,1.572368681688791556e-02
6.204965241155132816e+00,8.066397131292762923e-01,2.699767759313022233e-03
6.286985827002212979e+00,8.229153166149935084e-01,1.323162998131565010e-05
6.369006412849294030e+00,8.066872276511553030e-01,2.832145352728744972e-03
6.451026998696374193e+00,8.032371590147360241e-01,1.165305723869794648e-02
6.533047584543455244e+00,8.298979755304887185e-01,3.353514425329299359e-02
6.615068170390535407e+00,8.444348061680573281e-01,6.747408078295565048e-02
6.697088756237616458e+00,8.370726005336702746e-01,1.298638480860975775e-01
6.779109342084697509e+00,8.454033530639012417e-01,1.857455454417542284e-01
6.861129927931777672e+00,8.590097122121761464e-01,2.671610547048162143e-01
6.943150513778858723e+00,8.581068289463134047e-01,3.333057269690796187e-01
7.025171099625938886e+00,8.314598192593856130e-01,4.402465296316264709e-01
7.107191685473019938e+00,8.168861221427923258e-01,5.471322744409923278e-01
7.189212271320100101e+00,7.766670587942080539e-01,6.080685345130287800e-01
7.271232857167181152e+00,7.432389553470133414e-01,7.024317738143956991e-01
7.353253443014261315e+00,6.971319994527421793e-01,7.639426919080658518e-01
7.435274028861342366e+00,6.380274799938912000e-01,8.632785529027702243e-01
7.517294614708422529e+00,5.941319916716357730e-01,9.170724696301888468e-01
7.599315200555503580e+00,5.652987058945178056e-01,9.915302714838110099e-01
7.681335786402583743e+00,4.844279611332230617e-01,1.030938985104677075e+00
7.763356372249664794e+00,4.761981999401946331e-01,1.058194205904546825e+00
7.845376958096744957e+00,4.559164637940290032e-01,1.061981477735064683e+00
7.927397543943826008e+00,4.432636056402483038e-01,1.030850170593574422e+00
8.009418129790907059e+00,3.741828861401176876e-01,1.016747560352183166e+00
8.091438715637988111e+00,3.779384332925361800e-01,9.324108924090286354e-01
8.173459301485069162e+00,3.838796899503299498e-01,8.645443583100924645e-01
