alpha_rad,P,FI
5.301894902031421136e-02,9.789358070779802246e-01,5.448013943919307461e-02
1.344217798393824992e-01,9.823776643809774001e-01,2.979631216399835081e-01
2.158246106584507940e-01,9.777362195318682891e-01,5.520750650794550296e-01
2.972274414775191165e-01,9.716263449507982486e-01,7.217869372661885885e-01
3.786302722965874112e-01,9.550156644467197031e-01,8.233759294560751840e-01
4.600331031156557060e-01,9.506342562935726770e-01,8.916233186323140325e-01
5.414359339347240008e-01,9.168343616430382204e-01,8.583002719506387379e-01
6.228387647537922955e-01,9.157384617592679854e-01,8.405610184081259151e-01
7.042415955728605903e-01,8.822316296825446491e-01,8.060798048645538838e-01
7.856444263919288851e-01,8.486593279302262482e-01,7.902961701176979270e-01
8.670472572109971798e-01,8.173096512890208887e-01,7.725332609396495798e-01
9.484500880300654746e-01,7.845563968498131535e-01,7.741730110742807147e-01
1.029852918849133658e+00,7.813011225672926718e-01,7.912167346352473318e-01
1.111255749668202064e+00,7.386829859880609250e-01,7.962205484247865117e-01
1.192658580487270248e+00,7.060005993623269527e-01,8.148786759097871313e-01
1.274061411306338432e+00,6.800653282096317254e-01,8.492161855369553258e-01
1.355464242125406837e+00,6.332912656996768641e-01,8.708768032995637398e-01
1.436867072944475243e+00,6.463050261716329903e-01,9.181840610925688928e-01
1.518269903763543427e+00,5.261944419244830584e-01,9.420352255273236608e-01
1.599672734582611611e+00,5.191536775743312848e-01,9.166664328586117128e-01
1.681075565401680016e+00,4.890321166070782377e-01,9.146481502570591449e-01
1.762478396220748422e+00,4.298213113612439629e-01,9.048217943045674394e-01
1.843881227039816606e+00,4.104879407909242106e-01,8.973648293690876798e-01
1.925284057858884790e+00,3.821363964561203530e-01,8.919787439679776053e-01
2.006686888677953196e+00,3.307489460885620902e-01,8.813128284697283599e-01
2.088089719497021601e+00,3.038247682829853802e-01,8.802179590220314820e-01
2.169492550316090007e+00,2.760148735873944048e-01,8.702995671801607713e-01
2.250895381135157969e+00,2.139930691853121625e-01,8.497114812485485613e-01
2.332298211954226375e+00,1.877304400569495546e-01,8.238661490101472085e-01
2.413701042773294780e+00,1.763066562855067632e-01,7.780504080849355297e-01
2.495103873592362742e+00,1.585871302923462511e-01,7.367539921193094754e-01
2.576506704411431148e+00,1.003507800743557721e-01,6.620211750654274585e-01
2.657909535230499554e+00,1.169099637484585785e-01,5.644734387158389932e-01
2.739312366049567959e+00,1.030255890414320114e-01,5.013365677707316559e-01
