alpha_rad,P,FI
7.630009524526490394e-02,9.096109595790766722e-01,2.981656150514325025e-03
1.934477162278938622e-01,9.126157010045933271e-01,1.928723376356828584e-02
3.105953372105227928e-01,9.085637196513212110e-01,4.760194312856981524e-02
4.277429581931517788e-01,9.032297991420469296e-01,8.406332133035311627e-02
5.448905791757806538e-01,8.887286750619863840e-01,1.233102050016958440e-01
6.620382001584096399e-01,8.849037057442890042e-01,1.629923413220157324e-01
7.791858211410386259e-01,8.553963977143723696e-01,1.853302594697677774e-01
8.963334421236675009e-01,8.544396771158410120e-01,2.049832245137521158e-01
1.013481063106296487e+00,8.251882127128614686e-01,2.158156069327306914e-01
1.130628684088925251e+00,7.958795932830876607e-01,2.271248638253442198e-01
1.247776305071554237e+00,7.685113255753153183e-01,2.347537234695896979e-01
1.364923926054183223e+00,7.399177344498869546e-01,2.456884070228327888e-01
1.482071547036812209e+00,7.370758800012465750e-01,2.597736627358858130e-01
1.599219168019441195e+00,6.998702467675772532e-01,2.689966351183837312e-01
1.716366789002069959e+00,6.713385232433113359e-01,2.817172708898219580e-01
1.833514409984698945e+00,6.486970315270085274e-01,2.992968824978637921e-01
1.950662030967327931e+00,6.078632749558179338e-01,3.117872041422912188e-01
2.067809651949957139e+00,6.192242878478356749e-01,3.327400485249142892e-01
2.184957272932585681e+00,5.143677478000738823e-01,3.444050923058614155e-01
2.302104893915214667e+00,5.082211605223913020e-01,3.369083853954542573e-01
2.419252514897843653e+00,4.819250377979793498e-01,3.369429140676121759e-01
2.536400135880472639e+00,4.302340048183659338e-01,3.331758661528497756e-01
2.653547756863101625e+00,4.133559723104769934e-01,3.293918803879301582e-01
2.770695377845730611e+00,3.886050741061931602e-01,3.254666731418664471e-01
2.887842998828359597e+00,3.437438299353147153e-01,3.185388832479491006e-01
3.004990619810988584e+00,3.202390227110463172e-01,3.139242284714285902e-01
3.122138240793617570e+00,2.959609846417954881e-01,3.049004810299982271e-01
3.239285861776246112e+00,2.418159493987775410e-01,2.871359664604458684e-01
3.356433482758875098e+00,2.188886741697170790e-01,2.683101253465265956e-01
3.473581103741504084e+00,2.089157109372475896e-01,2.408278835833685405e-01
3.590728724724133070e+00,1.934465647452182635e-01,2.169086118342881675e-01
3.707876345706762056e+00,1.426062310049126536e-01,1.880088932368111920e-01
3.825023966689391042e+00,1.570623983524043754e-01,1.533762710387758799e-01
3.942171587672020028e+00,1.449413392331702632e-01,1.315734014769316396e-01
4.059319208654649458e+00,1.088049265915192465e-01,1.070830387228699637e-01
4.176466829637277556e+00,1.050743342415753206e-01,7.726697334359303171e-02
4.293614450619906542e+00,9.622365354773679269e-02,5.041613836562189310e-02
4.410762071602535528e+00,9.372968206160191273e-02,2.374495624671471225e-02
4.527909692585164514e+00,8.353752022487047346e-02,5.803299649335902366e-03
4.645057313567793500e+00,8.034694562141428409e-02,8.124260871302333570e-04
4.762204934550422486e+00,9.303064214351680628e-02,1.138515167013201546e-02
4.879352555533051472e+00,9.647617476768635680e-02,3.377360030226251447e-02
4.996500176515680458e+00,1.002668982640585044e-01,6.015154023554619006e-02
5.113647797498309444e+00,1.104546587429627302e-01,9.530837691847260373e-02
5.230795418480938430e+00,1.162040074173845972e-01,1.323805176663123140e-01
5.347943039463567416e+00,1.379302217988077894e-01,1.631205819225144127e-01
5.465090660446196402e+00,1.560076398145944510e-01,1.953433593811061963e-01
5.582238281428825388e+00,1.729686497950110868e-01,2.242871211289111655e-01
5.699385902411454374e+00,2.095766361670987066e-01,2.459152459601758878e-01
5.816533523394083360e+00,2.172957524386120998e-01,2.621572967830832490e-01
5.933681144376712346e+00,2.484914028626737104e-01,2.806011943456187541e-01
6.050828765359341332e+00,2.650544319146876937e-01,2.842651292611330649e-01
6.167976386341970318e+00,2.873405951921234602e-01,2.985655370194574831e-01
6.285124007324599305e+00,3.409171989353251830e-01,3.042618064826245750e-01
6.402271628307227402e+00,3.796270199739060769e-01,3.059841098657804515e-01
6.519419249289856388e+00,3.957278609365921795e-01,3.027944088068859618e-01
6.636566870272485374e+00,4.297505376943518418e-01,3.055775563124600303e-01
6.753714491255114361e+00,4.656316426408125264e-01,3.044412700721823017e-01
6.870862112237743347e+00,4.909186417143226455e-01,3.018306146239910226e-01
6.988009733220372333e+00,5.324872175883385017e-01,3.044969518719448653e-01
7.105157354203001319e+00,5.812733357083573749e-01,2.930283934603211682e-01
7.222304975185630305e+00,6.059883116882638365e-01,2.904875205623377310e-01
7.339452596168259291e+00,6.337595271805843700e-01,2.830229427570002398e-01
7.456600217150888277e+00,6.315151381246074669e-01,2.838654212073045691e-01
7.573747838133517263e+00,6.953096614476242943e-01,2.908692956705516974e-01
7.690895459116146249e+00,7.348836953942513572e-01,2.763252286408363068e-01
7.808043080098775235e+00,7.348472204608930136e-01,2.647617903680995477e-01
7.925190701081404221e+00,7.890234851618004308e-01,2.473888432545214844e-01
8.042338322064033207e+00,7.802673078687505370e-01,2.292953685224223548e-01
8.159485943046663081e+00,8.109865872655773744e-01,2.058091346693492751e-01
8.276633564029291179e+00,8.476975169292920720e-01,1.744168929032378357e-01
8.393781185011921053e+00,8.640277454546636537e-01,1.391063843532617805e-01
8.510928805994549151e+00,8.682239119852516174e-01,1.038937675349642237e-01
