alpha_rad,P,FI
7.630009524526490394e-02,9.176143686431934565e-01,2.879232011220449715e-03
1.934477162278938622e-01,9.139002258341257789e-01,1.682122397049482659e-02
3.105953372105227928e-01,9.036642919111277372e-01,4.053117394034899679e-02
4.277429581931517788e-01,8.973279318727779286e-01,7.015204200104770138e-02
5.448905791757806538e-01,8.973847316415823894e-01,1.078886741032419605e-01
6.620382001584096399e-01,8.821897993414805628e-01,1.459641684786283922e-01
7.791858211410386259e-01,8.774855547998653416e-01,1.842077585790076188e-01
8.963334421236675009e-01,8.471060288973447649e-01,2.111597174789446030e-01
1.013481063106296487e+00,8.169033010019567387e-01,2.274367715347282437e-01
1.130628684088925251e+00,7.876878355377370244e-01,2.469096189777457151e-01
1.247776305071554237e+00,7.849231879137223977e-01,2.706012867839948099e-01
1.364923926054183223e+00,7.672106298372709521e-01,2.921569284301011593e-01
1.482071547036812209e+00,7.336872313575465432e-01,3.135968616076572624e-01
1.599219168019441195e+00,6.941895462115994508e-01,3.279078487902464811e-01
1.716366789002069959e+00,6.574608304480092924e-01,3.353344946436180862e-01
1.833514409984698945e+00,6.194340256381679621e-01,3.383333601338398000e-01
1.950662030967327931e+00,6.039743773127504989e-01,3.386102346333355606e-01
2.067809651949957139e+00,5.725101230253653029e-01,3.428441713175703898e-01
2.184957272932585681e+00,5.351794711159697515e-01,3.434873454391908498e-01
2.302104893915214667e+00,4.888804791996774202e-01,3.395898018681969832e-01
2.419252514897843653e+00,4.559329799579820430e-01,3.296125134801617951e-01
2.536400135880472639e+00,4.281542591656914976e-01,3.109168767929246791e-01
2.653547756863101625e+00,3.864369396080160057e-01,3.023660202729163693e-01
2.770695377845730611e+00,3.817595233803336430e-01,3.011442107471914986e-01
2.887842998828359597e+00,3.354952113495568433e-01,3.014078421724749601e-01
3.004990619810988584e+00,3.064064629858037070e-01,2.989187559168776653e-01
3.122138240793617570e+00,2.724823896460054629e-01,2.932831879477427184e-01
3.239285861776246112e+00,2.406083279293907140e-01,2.772579399967309843e-01
3.356433482758875098e+00,2.277180038701979436e-01,2.582770335210453072e-01
3.473581103741504084e+00,2.034495810183196141e-01,2.410917475273226529e-01
3.590728724724133070e+00,1.895241349856553181e-01,2.243960770455206699e-01
3.707876345706762056e+00,1.500080077134745282e-01,2.050312307506497178e-01
3.825023966689391042e+00,1.181606937462065521e-01,1.674469941153390595e-01
3.942171587672020028e+00,1.257460521238472351e-01,1.340622582851139499e-01
4.059319208654649458e+00,1.158162244952238434e-01,9.758928788218421135e-02
4.176466829637277556e+00,1.062251772519855336e-01,6.454366446410289559e-02
4.293614450619906542e+00,9.448898307930991836e-02,3.753476712137098631e-02
4.410762071602535528e+00,8.857940377023700018e-02,1.277135782779631468e-02
4.527909692585164514e+00,8.567437402744784714e-02,1.091798297896177288e-03
4.645057313567793500e+00,7.817763476940743639e-02,4.977582462565056931e-03
4.762204934550422486e+00,8.800443274139832517e-02,2.140738535419503541e-02
4.879352555533051472e+00,8.876576786905295002e-02,4.717784163485062854e-02
4.996500176515680458e+00,1.126114322187309197e-01,7.901740372306090276e-02
5.113647797498309444e+00,1.138222905077381358e-01,1.098509388354948352e-01
5.230795418480938430e+00,1.231889788980199130e-01,1.461939034946155291e-01
5.347943039463567416e+00,1.512925953037262683e-01,1.862342168638941864e-01
5.465090660446196402e+00,1.502776239101029920e-01,2.141731974401947236e-01
5.582238281428825388e+00,2.053728077091219184e-01,2.381701030465021574e-01
5.699385902411454374e+00,2.176855278495878343e-01,2.620782706708852383e-01
5.816533523394083360e+00,2.137962149567149972e-01,2.861005866132220743e-01
5.933681144376712346e+00,2.659951451613207785e-01,3.057272443660292716e-01
6.050828765359341332e+00,3.005137139670623347e-01,3.162698443260969494e-01
6.167976386341970318e+00,3.040936705516508187e-01,3.268711714818865466e-01
6.285124007324599305e+00,3.582191187173576208e-01,3.343627830438452020e-01
6.402271628307227402e+00,3.765658430537708323e-01,3.357905439626802657e-01
6.519419249289856388e+00,4.330853812592990737e-01,3.209435786383479927e-01
6.636566870272485374e+00,4.566295889825700005e-01,3.204921475735869607e-01
6.753714491255114361e+00,4.765666626175807941e-01,3.230213775401477583e-01
6.870862112237743347e+00,5.457441967110450154e-01,3.130883922767073169e-01
6.988009733220372333e+00,5.425530578619693900e-01,3.135331985424208434e-01
7.105157354203001319e+00,5.814769335415481688e-01,3.124529628236795697e-01
7.222304975185630305e+00,6.193198093990927022e-01,3.116963224625932671e-01
7.339452596168259291e+00,6.386198131082195806e-01,3.121816399953410426e-01
7.456600217150888277e+00,6.843494364421449649e-01,3.053434068089248554e-01
7.573747838133517263e+00,7.056933440290671378e-01,2.932099212506238395e-01
7.690895459116146249e+00,7.341014017024032334e-01,2.792254848553384350e-01
7.808043080098775235e+00,7.691308914267076524e-01,2.587242908544494790e-01
7.925190701081404221e+00,7.960983380344395233e-01,2.346734603434414979e-01
8.042338322064033207e+00,8.055458986941772537e-01,2.068429741687114465e-01
8.159485943046663081e+00,8.287971622872603028e-01,1.838360541010493621e-01
8.276633564029291179e+00,8.505764090192311500e-01,1.570535111679325357e-01
8.393781185011921053e+00,8.633456394835068437e-01,1.282376976543895264e-01
8.510928805994549151e+00,8.805127186791372740e-01,9.530627489319822010e-02
8.628076426977179025e+00,8.950488034123500469e-01,6.595456340112403060e-02
8.745224047959807123e+00,8.916182497093283477e-01,3.693236873754819627e-02
8.862371668942436997e+00,9.036214997504308233e-01,1.417755557118838793e-02
8.979519289925065095e+00,9.035675858211456024e-01,1.893710817131881311e-03
9.096666910907694970e+00,9.030170196136517724e-01,1.932756254986377382e-03
9.213814531890323067e+00,9.083177949615709457e-01,1.534462671961635272e-02
9.330962152872952942e+00,8.970130641034438357e-01,3.931725135085224060e-02
9.448109773855581039e+00,8.926227796207515386e-01,7.052213839727193567e-02
9.565257394838210914e+00,8.723119374158334605e-01,9.874711559706494945e-02
9.682405015820839012e+00,8.519833815887571937e-01,1.309011737676935572e-01
9.799552636803468886e+00,8.529386399498756210e-01,1.555473495230875469e-01
9.916700257786096984e+00,8.362858601656323332e-01,1.865518516477578659e-01
1.003384787876872686e+01,7.924718078380356134e-01,2.071169531189521740e-01
1.015099549975135496e+01,7.996036105072424904e-01,2.312459042692021904e-01
1.026814312073398305e+01,7.660447604957444367e-01,2.547844065472645303e-01
1.038529074171661293e+01,7.441016851007979938e-01,2.757754456662012132e-01
1.050243836269924103e+01,7.021365620753639014e-01,2.928072947767624279e-01
1.061958598368187090e+01,6.894919218223543034e-01,3.120150018853015128e-01
1.073673360466449900e+01,6.414573373166522208e-01,3.226747395532684748e-01
1.085388122564712887e+01,6.212333921455959196e-01,3.338996954533214878e-01
1.097102884662975697e+01,5.720239479788368220e-01,3.369556363866161863e-01
1.108817646761238684e+01,5.493378295164754732e-01,3.353212011512238799e-01
1.120532408859501494e+01,5.183193229534374113e-01,3.193292026097782066e-01
1.132247170957764482e+01,4.831948965737937751e-01,3.079041918260458921e-01
1.143961933056027291e+01,4.466844588936464966e-01,2.845552979347737432e-01
1.155676695154290279e+01,4.220731569310524067e-01,2.510220551042048887e-01
1.167391457252553089e+01,3.686381819886666578e-01,2.478632119263750599e-01
