alpha_rad,P,FI
5.248100509862208690e-02,1.000000000000000000e+00,nan
1.330579018156984317e-01,9.953937601319102768e-01,nan
2.136347985327747556e-01,9.888890355223017847e-01,1.054498016955346529e+01
2.942116952498510796e-01,9.558782003593396803e-01,5.306687991086623590e+00
3.747885919669274313e-01,9.128739464852494434e-01,4.657931304243839499e+00
4.553654886840037830e-01,8.693726525403380201e-01,4.221085295799424486e+00
5.359423854010800792e-01,7.981832922955318654e-01,4.179538466682135578e+00
6.165192821181564309e-01,7.294199815905346718e-01,4.102162695859454367e+00
6.970961788352327826e-01,6.582116039470051749e-01,4.150214372166118437e+00
7.776730755523091343e-01,5.749871151860835861e-01,4.057159921924760937e+00
8.582499722693854860e-01,4.992465946322716674e-01,4.083668397773056569e+00
9.388268689864618377e-01,4.196077002815499779e-01,4.013844166334220809e+00
1.019403765703538189e+00,3.335914963730354788e-01,4.059989426230352194e+00
1.099980662420614541e+00,2.580850604717171981e-01,3.975163547466501690e+00
1.180557559137690893e+00,2.026605243406281731e-01,4.101291331009371710e+00
1.261134455854767245e+00,1.378476959899677945e-01,4.332874306078230653e+00
1.341711352571843596e+00,8.634242425204538551e-02,4.097283097789389927e+00
1.422288249288919948e+00,4.731395538474491430e-02,3.165352243407883126e+00
1.502865146005996300e+00,2.088606505761769414e-02,1.592499985959510145e+00
1.583442042723072651e+00,1.030170877604251294e-02,1.322500616274734919e-01
1.664018939440149003e+00,1.040622815237216003e-02,2.727957413311592916e+00
1.744595836157225355e+00,2.105707841642203565e-02,3.376583404029792845e+00
1.825172732874301706e+00,4.618724193487593749e-02,3.232126536578750375e+00
1.905749629591378058e+00,8.980846439661242797e-02,3.612722730529329240e+00
1.986326526308454188e+00,1.279211934989443744e-01,3.684260172189962379e+00
2.066903423025530540e+00,1.939015600490423819e-01,3.911565070227600582e+00
2.147480319742606891e+00,2.689469803164237227e-01,3.910290943302667799e+00
2.228057216459683243e+00,3.329551312275657038e-01,3.989827579609628305e+00
2.308634113176759595e+00,4.022333217937095751e-01,3.975422205693980970e+00
2.389211009893835946e+00,4.945403820698682784e-01,4.017771168048510866e+00
2.469787906610912298e+00,5.795557435005125324e-01,3.988823228184218639e+00
2.550364803327988650e+00,6.526765253218984597e-01,3.931075319182465666e+00
2.630941700045065001e+00,7.294425450366659458e-01,3.928289415544739427e+00
2.711518596762141353e+00,7.915083185139429878e-01,3.855450893479001273e+00
2.792095493479217705e+00,8.499896675808036317e-01,3.815999852575345130e+00
2.872672390196294057e+00,9.038904325317840271e-01,3.652841422747059141e+00
2.953249286913370408e+00,9.394638507932508986e-01,3.143749904500352965e+00
3.033826183630446760e+00,9.757029571446538263e-01,1.967788839100461207e+00
3.114403080347523112e+00,9.799545511843610335e-01,2.155556923490620502e-01
3.194979977064599463e+00,9.877709535844440003e-01,7.083713384909284816e-01
3.275556873781675815e+00,9.697446531752544896e-01,2.176975348324719395e+00
3.356133770498752167e+00,9.544879086496493859e-01,2.813408117756823756e+00
3.436710667215828519e+00,9.122793795217990498e-01,3.275666839347191495e+00
3.517287563932904870e+00,8.710571336129439013e-01,3.617219793921225612e+00
3.597864460649981222e+00,8.114088880974528184e-01,3.723642441271294068e+00
3.678441357367057574e+00,7.531434011212032598e-01,3.827075071481875757e+00
3.759018254084133925e+00,6.751499478825246925e-01,3.853568588143479801e+00
3.839595150801210277e+00,5.892782410074471899e-01,3.857106815902890506e+00
3.920172047518286185e+00,5.185825924602186499e-01,3.837952662871671805e+00
4.000748944235362536e+00,4.437102848176405767e-01,3.868366619122815209e+00
4.081325840952438888e+00,3.685814603006403178e-01,3.868221788136869232e+00
4.161902737669515240e+00,2.921983841969707507e-01,3.899617552771793783e+00
4.242479634386591592e+00,2.210692669078390959e-01,3.873332668209149787e+00
4.323056531103667943e+00,1.561466813762569239e-01,3.891255011450093448e+00
4.403633427820744295e+00,1.059994989357160855e-01,3.766811741875520703e+00
4.484210324537820647e+00,6.023955977227159891e-02,3.449148803058220025e+00
4.564787221254896998e+00,3.968505570058240145e-02,2.784521661997670261e+00
4.645364117971973350e+00,1.214194545894857306e-02,1.229020130631296004e+00
4.725941014689049702e+00,4.855113102788347589e-03,6.546972178435153666e-02
4.806517911406126053e+00,2.572368235826518260e-02,1.728915424730103068e+00
4.887094808123202405e+00,5.066928537190752008e-02,2.865342542306185791e+00
4.967671704840278757e+00,7.385063728223402457e-02,3.411767450552326331e+00
5.048248601557355109e+00,1.240050992886707060e-01,3.597953628380621716e+00
5.128825498274431460e+00,1.808965666415835172e-01,3.706335856030432030e+00
5.209402394991507812e+00,2.379103303786499202e-01,3.790841442079096790e+00
5.289979291708584164e+00,3.087516595301325051e-01,3.882693162135664622e+00
5.370556188425660515e+00,3.928350054733208419e-01,3.937667867754647055e+00
5.451133085142736867e+00,4.591322741157034537e-01,3.970442323304372412e+00
5.531709981859813219e+00,5.410268467877089593e-01,3.999030379010706682e+00
5.612286878576889571e+00,6.300290716570451366e-01,4.014062302233747381e+00
5.692863775293965922e+00,7.106361578417758063e-01,3.950520414399569802e+00
5.773440672011042274e+00,7.692197244508232057e-01,3.848584491992948831e+00
5.854017568728118626e+00,8.327427759978135446e-01,3.795887635373254909e+00
5.934594465445194977e+00,8.886474246336270033e-01,3.572273591031836837e+00
6.015171362162271329e+00,9.315421474796993229e-01,3.398767533270143026e+00
6.095748258879347681e+00,9.702665942331382132e-01,2.920664586179861466e+00
6.176325155596424032e+00,9.797492571124556404e-01,2.076599148976835174e+00
6.256902052313500384e+00,9.856134914220251453e-01,2.493102031851529565e-01
6.337478949030576736e+00,9.882258831889728645e-01,8.466679771988236958e-01
6.418055845747653088e+00,9.678541124845360111e-01,2.391125211637090242e+00
6.498632742464729439e+00,9.493046583571238539e-01,3.144439922362129991e+00
6.579209639181805791e+00,8.997197062534325607e-01,3.593088592274538584e+00
6.659786535898882143e+00,8.389440519990352119e-01,3.742947098902736247e+00
6.740363432615958494e+00,7.960099871720512921e-01,3.815625811952416235e+00
6.820940329333034846e+00,7.256963168868070246e-01,3.898632292029891477e+00
6.901517226050111198e+00,6.560130226201846826e-01,3.960068897594496207e+00
6.982094122767187550e+00,5.665722697264439223e-01,3.961546623516819299e+00
7.062671019484263901e+00,4.939820663068710815e-01,3.991549463764817673e+00
7.143247916201340253e+00,4.009234541565471210e-01,3.925934949218534253e+00
7.223824812918416605e+00,3.382449395291030059e-01,3.874517899061256099e+00
