alpha_rad,P,FI
5.248100509862208690e-02,9.102006459006295458e-01,6.959844611843182816e-02
1.330579018156984317e-01,9.061468309228544182e-01,4.188841573829935050e-01
2.136347985327747556e-01,9.004222158780742502e-01,1.022546189076251499e+00
2.942116952498510796e-01,8.713703597340783924e-01,1.551577758378107630e+00
3.747885919669274313e-01,8.335235924238193483e-01,2.041149480797071813e+00
4.553654886840037830e-01,7.952393949012069863e-01,2.329500985050033446e+00
5.359423854010800792e-01,7.325877521116394009e-01,2.647138522674215455e+00
6.165192821181564309e-01,6.720712035079898783e-01,2.838385055157426340e+00
6.970961788352327826e-01,6.094028240703119881e-01,3.041766224109439420e+00
7.776730755523091343e-01,5.361594219205637613e-01,3.086128593998842984e+00
8.582499722693854860e-01,4.695024380382070706e-01,3.176860198354613196e+00
9.388268689864618377e-01,3.994146110952538908e-01,3.157159870598249984e+00
1.019403765703538189e+00,3.237143033124762481e-01,3.193917446134676652e+00
1.099980662420614541e+00,2.572633303842863373e-01,3.089423081282926198e+00
1.180557559137690893e+00,2.084858413392738918e-01,3.098901494266124601e+00
1.261134455854767245e+00,1.514459949908388559e-01,3.095230185349636010e+00
1.341711352571843596e+00,1.061177342000790003e-01,2.597334545840634501e+00
1.422288249288919948e+00,7.176993725838268223e-02,1.521993896576810279e+00
1.502865146005996300e+00,4.851153545840522496e-02,4.391871131542109952e-01
1.583442042723072651e+00,3.919655767759078202e-02,1.584079196582001414e-02
1.664018939440149003e+00,3.928854207817922967e-02,6.470988546002737207e-01
1.744595836157225355e+00,4.866203923918383661e-02,1.300155637870543002e+00
1.825172732874301706e+00,7.077835019614971135e-02,1.738924010218505289e+00
1.905749629591378058e+00,1.091680932465006609e-01,2.332804954078997905e+00
1.986326526308454188e+00,1.427099748035704219e-01,2.629722095991718689e+00
2.066903423025530540e+00,2.007773368645051904e-01,2.950891169351962162e+00
2.147480319742606891e+00,2.668225836179057842e-01,3.037402189004324793e+00
2.228057216459683243e+00,3.231542572376049360e-01,3.138090224750794466e+00
2.308634113176759595e+00,3.841239363235228743e-01,3.127695576304696967e+00
2.389211009893835946e+00,4.653606400597235515e-01,3.127059729170919233e+00
2.469787906610912298e+00,5.401801360864111334e-01,3.035782752429117881e+00
2.550364803327988650e+00,6.045315656738347032e-01,2.886667282007008506e+00
2.630941700045065001e+00,6.720910609271638636e-01,2.734434421446362062e+00
2.711518596762141353e+00,7.267133058242204457e-01,2.476843914512776301e+00
2.792095493479217705e+00,7.781810051965613040e-01,2.172366062007319076e+00
2.872672390196294057e+00,8.256174684570898314e-01,1.717300400774701918e+00
2.953249286913370408e+00,8.569245779191937418e-01,1.056947449335688960e+00
3.033826183630446760e+00,8.888175397091810925e-01,4.048604397352514317e-01
3.114403080347523112e+00,8.925592414205885117e-01,2.628692627145731361e-02
3.194979977064599463e+00,8.994382251533472594e-01,9.489479723533929267e-02
3.275556873781675815e+00,8.835738132500757791e-01,4.740625942650594782e-01
3.356133770498752167e+00,8.701468052693482891e-01,9.319232083420553314e-01
3.436710667215828519e+00,8.330003316882196307e-01,1.438981975226497179e+00
3.517287563932904870e+00,7.967218566916174360e-01,1.956554903021631597e+00
3.597864460649981222e+00,7.442272063926126391e-01,2.314690219171935404e+00
3.678441357367057574e+00,6.929494808386381655e-01,2.608748396133921066e+00
3.759018254084133925e+00,6.243097577756536731e-01,2.792868517079466262e+00
3.839595150801210277e+00,5.487366175428008974e-01,2.911408796350324124e+00
3.920172047518286185e+00,4.865194757630934008e-01,2.970501263605514808e+00
4.000748944235362536e+00,4.206265802921630992e-01,3.035183926625220963e+00
4.081325840952438888e+00,3.545079319344175417e-01,3.046901657326242852e+00
4.161902737669515240e+00,2.872854539860417167e-01,3.049904087038374456e+00
4.242479634386591592e+00,2.246868292335309492e-01,2.965053006559116522e+00
4.323056531103667943e+00,1.675503888481631731e-01,2.850409918932947484e+00
4.403633427820744295e+00,1.234173421349464839e-01,2.542639000685531503e+00
4.484210324537820647e+00,8.314537800039542570e-02,2.003543258656601100e+00
4.564787221254896998e+00,6.505596910013580758e-02,1.223412988759440712e+00
4.645364117971973350e+00,4.081609535722741100e-02,3.422506074038684232e-01
4.725941014689049702e+00,3.440317050053968984e-02,1.507571145709505657e-02
4.806517911406126053e+00,5.276897884644173031e-02,5.960586922095800766e-01
4.887094808123202405e+00,7.472286358155712238e-02,1.446358398389673949e+00
4.967671704840278757e+00,9.512408329010195451e-02,2.129183476847476886e+00
5.048248601557355109e+00,1.392635365331792996e-01,2.519942386701059078e+00
5.128825498274431460e+00,1.893320282026080825e-01,2.764303518046377306e+00
5.209402394991507812e+00,2.395081492895242137e-01,2.924629420282078396e+00
5.289979291708584164e+00,3.018535002446998128e-01,3.046065685811941037e+00
5.370556188425660515e+00,3.758527571065229944e-01,3.101464355220517888e+00
5.451133085142736867e+00,4.341990152920585100e-01,3.106024266407025003e+00
5.531709981859813219e+00,5.062719977687497597e-01,3.072536944319449681e+00
5.612286878576889571e+00,5.846002139630684935e-01,2.989368641043975927e+00
5.692863775293965922e+00,6.555401177996406092e-01,2.802527020891937504e+00
5.773440672011042274e+00,7.070977757966676602e-01,2.542899427482832042e+00
5.854017568728118626e+00,7.630025278655092613e-01,2.252152817485109537e+00
5.934594465445194977e+00,8.122025496744256223e-01,1.801219225452848072e+00
6.015171362162271329e+00,8.499529219782095968e-01,1.325266967122110007e+00
6.095748258879347681e+00,8.840331580819901225e-01,7.673356489318909901e-01
6.176325155596424032e+00,8.923785682017872922e-01,3.013455191754403351e-01
6.256902052313500384e+00,8.975395067456096720e-01,2.110369354715531387e-02
6.337478949030576736e+00,8.998385951943101979e-01,8.981248817721387834e-02
6.418055845747653088e+00,8.819100045063714699e-01,5.072195332059156181e-01
6.498632742464729439e+00,8.655851805448175895e-01,1.084315475331156575e+00
6.579209639181805791e+00,8.219469360619992004e-01,1.700381526278985866e+00
6.659786535898882143e+00,7.684600867975183158e-01,2.137918063897603194e+00
6.740363432615958494e+00,7.306750907841488285e-01,2.447841468345861582e+00
6.820940329333034846e+00,6.687941167342946747e-01,2.711080973563822827e+00
6.901517226050111198e+00,6.074679179065526347e-01,2.908808731446100637e+00
6.982094122767187550e+00,5.287537662150788575e-01,3.017501489368690226e+00
7.062671019484263901e+00,4.648692829295738016e-01,3.107750658582562497e+00
7.143247916201340253e+00,3.829711606977424521e-01,3.089039292146618099e+00
7.223824812918416605e+00,3.278096605028334998e-01,3.047374922189010515e+00
7.304401709635492956e+00,2.637684445798196275e-01,2.914871182363109270e+00
7.384978606352569308e+00,2.064254396678037728e-01,2.764686847151603288e+00
7.465555503069645660e+00,1.464433703221114935e-01,2.441413683096666620e+00
7.546132399786722011e+00,1.154402369728806249e-01,2.063076990011267320e+00
7.626709296503798363e+00,8.340226323529617569e-02,1.526368296728239038e+00
7.707286193220874715e+00,5.589019047744474278e-02,8.704238763126325162e-01
7.787863089937950178e+00,4.819792899206625653e-02,2.041003604440982389e-01
7.868439986655026530e+00,5.058542084620692297e-02,9.948572330127698760e-03
7.949016883372102882e+00,6.020352200396757170e-02,3.612303428191676602e-01
8.029593780089179234e+00,8.584125574860436425e-02,9.774139351791151231e-01
