alpha_rad,P,FI
5.254610085031908434e-02,9.883616689097344254e-01,nan
1.332229425598999151e-01,9.918797615872335660e-01,6.056953931807993463e+00
2.138997842694807250e-01,9.851931297930686116e-01,6.777742377396235085e+00
2.945766259790615349e-01,9.460995796780055089e-01,4.645069850207598883e+00
3.752534676886423726e-01,9.075616118451641512e-01,4.394807571990857475e+00
4.559303093982232102e-01,8.650245242438350246e-01,4.108312670171625491e+00
5.366071511078039924e-01,8.015603646860699483e-01,4.159597276138191191e+00
6.172839928173848856e-01,7.265738400575751932e-01,4.091665083839924222e+00
6.979608345269656677e-01,6.503427211627984539e-01,4.147436894603831803e+00
7.786376762365464499e-01,5.698759344448235398e-01,4.077439582402309526e+00
8.593145179461273431e-01,4.860277450298431945e-01,4.106718400694077786e+00
9.399913596557081252e-01,4.169801776974115248e-01,4.044004250440227821e+00
1.020668201365289018e+00,3.272499205620515439e-01,4.112035791409894614e+00
1.101345043074869912e+00,2.638828326376209121e-01,4.083419222707254548e+00
1.182021884784450805e+00,1.892729520410877386e-01,4.282394584231187906e+00
1.262698726494031476e+00,1.296369141985465601e-01,4.574505143439381527e+00
1.343375568203612369e+00,7.883512731608015300e-02,4.461094774603885149e+00
1.424052409913193262e+00,4.018372038252517736e-02,3.837436116765129857e+00
1.504729251622773933e+00,8.938712654755247983e-03,2.699089394993806401e+00
1.585406093332354827e+00,3.389626223548504545e-03,1.917061685641406399e+01
1.666082935041935720e+00,1.205547580732650031e-02,3.842554291217720408e+00
1.746759776751516391e+00,1.763253551545689371e-02,3.904703798903289780e+00
1.827436618461097284e+00,4.717537165472084071e-02,3.492973916835883763e+00
1.908113460170678177e+00,8.307970265283691480e-02,3.797573071117545496e+00
1.988790301880258848e+00,1.191965704527169212e-01,3.791942068382608610e+00
2.069467143589839964e+00,1.886245375525542889e-01,3.945946286433321237e+00
2.150143985299420635e+00,2.654857908428929214e-01,3.910960871674918238e+00
2.230820827009001306e+00,3.307785887372209910e-01,3.913191012584188666e+00
2.311497668718582421e+00,4.133215926747456082e-01,3.841130481667395014e+00
2.392174510428163092e+00,4.843953025907535848e-01,3.844588389674003182e+00
2.472851352137743763e+00,5.565549548729020746e-01,3.855067112093409243e+00
2.553528193847324879e+00,6.443789434068064592e-01,3.788708033764271121e+00
2.634205035556905550e+00,7.054721064977131917e-01,3.799621722419040282e+00
2.714881877266486221e+00,7.797735066726817488e-01,3.686570791264660141e+00
2.795558718976067336e+00,8.479381121665133803e-01,3.540490760870707909e+00
2.876235560685648007e+00,8.906810573342568427e-01,3.134287238875890225e+00
2.956912402395228678e+00,9.263760825606025540e-01,2.395557728051094237e+00
3.037589244104809794e+00,9.528027808258971998e-01,1.176547225182999590e+00
3.118266085814390465e+00,9.714336169853884373e-01,7.684465279369528945e-02
3.198942927523971136e+00,9.682589370152276942e-01,4.093420802036529249e-01
3.279619769233552251e+00,9.636073646733477327e-01,1.544917919450187194e+00
3.360296610943132922e+00,9.422362882942828533e-01,2.335104935395196257e+00
3.440973452652713593e+00,8.991160809005475096e-01,2.823219140520874859e+00
3.521650294362294709e+00,8.528700140952274467e-01,3.339121131768250983e+00
3.602327136071875380e+00,8.087075426528953503e-01,3.564896288691697279e+00
3.683003977781456051e+00,7.412963172919199151e-01,3.829018001430247065e+00
3.763680819491037166e+00,6.643615560995074221e-01,3.886612809645478173e+00
3.844357661200617837e+00,5.891463259296016997e-01,3.980369178114131046e+00
3.925034502910198508e+00,5.030924938930330104e-01,3.993072340061393888e+00
4.005711344619779624e+00,4.169417266854174020e-01,3.945715879979386997e+00
4.086388186329360295e+00,3.472937988334984794e-01,3.903961850518063326e+00
4.167065028038940966e+00,2.723128212208906218e-01,3.824301171225657825e+00
4.247741869748521637e+00,2.111742310340066486e-01,3.774674528797311801e+00
4.328418711458102308e+00,1.455651051457244882e-01,3.697697811432341553e+00
4.409095553167682979e+00,1.025426489481049558e-01,3.570037642828876923e+00
4.489772394877263650e+00,5.731090999567339805e-02,3.362000009326343353e+00
4.570449236586845210e+00,3.149798335492637325e-02,2.733985618644729332e+00
4.651126078296425881e+00,1.213703495220987832e-02,1.161584360545837580e+00
4.731802920006006552e+00,1.272694470713570114e-03,1.542859042798275793e-01
4.812479761715587223e+00,2.256481028736700631e-02,2.034168592394414166e+00
4.893156603425167894e+00,5.020814351941211423e-02,3.066248573469787964e+00
4.973833445134748565e+00,7.183039294793813756e-02,3.525966190718339721e+00
5.054510286844330125e+00,1.167346087649917125e-01,3.766849930275678826e+00
5.135187128553910796e+00,1.776033706942554968e-01,3.846550243685182391e+00
5.215863970263491467e+00,2.428771225692210878e-01,3.880647872699690026e+00
