alpha_rad,P,FI
5.301654198218958003e-02,8.098964096672148782e-01,8.800972883427961302e-02
1.344156771467634737e-01,7.959261615808739254e-01,5.265935437008320008e-01
2.158148123113373673e-01,7.502553119308061902e-01,1.077702651467163264e+00
2.972139474759112332e-01,7.000792850799532063e-01,1.670649775797780290e+00
3.786130826404851546e-01,6.587698779064942167e-01,2.074537601222497862e+00
4.600122178050590205e-01,5.721548248370779133e-01,2.473033237867436451e+00
5.414113529696329419e-01,5.309295934284427032e-01,2.513460674370874504e+00
6.228104881342069188e-01,4.557552402450064655e-01,2.546556005664942113e+00
7.042096232987806737e-01,3.834070148859146654e-01,2.200555029013736785e+00
7.856087584633546506e-01,3.447997614975839009e-01,2.073760614916363210e+00
8.670078936279284054e-01,2.872775373628569939e-01,1.614214852576448145e+00
9.484070287925023823e-01,2.502549778379294931e-01,1.435386781463805939e+00
1.029806163957076359e+00,2.117273205112317758e-01,1.080665265998991043e+00
1.111205299121650114e+00,1.745292799507435488e-01,8.905969141184620907e-01
1.192604434286224091e+00,1.655888054130429943e-01,6.632555126564487757e-01
1.274003569450797846e+00,1.523458513528682112e-01,5.946710908295355091e-01
1.355402704615371823e+00,1.247888646822687131e-01,4.098418792967465363e-01
1.436801839779945800e+00,1.085560024074913588e-01,2.157702525267683469e-01
1.518200974944519555e+00,1.061409690585099069e-01,4.202554460314867485e-02
1.599600110109093531e+00,8.775091389819196508e-02,1.842794642721027817e-02
1.680999245273667286e+00,8.618014473759866290e-02,2.817576090822727086e-01
1.762398380438241263e+00,9.828986704038834843e-02,8.202028832668567526e-01
1.843797515602815240e+00,1.370568367937629872e-01,1.367636816775572584e+00
1.925196650767388995e+00,1.667743049283799683e-01,1.911185167845822708e+00
2.006595785931962972e+00,2.203396623089287909e-01,2.189402083258334741e+00
2.087994921096536949e+00,2.940908073834959668e-01,2.105450841366973247e+00
2.169394056261110926e+00,3.377179411117811059e-01,2.010434240524352933e+00
2.250793191425684903e+00,3.990777062899289462e-01,1.574615639344563389e+00
2.332192326590258880e+00,4.529192043332899154e-01,1.335099795911053544e+00
2.413591461754832856e+00,4.802161261938892589e-01,8.507363905662895798e-01
2.494990596919406389e+00,4.910648108912991638e-01,5.742288520729411649e-01
2.576389732083980366e+00,5.193763334823141564e-01,4.640629736951167317e-01
2.657788867248554343e+00,5.653290254764822276e-01,4.496030790578762204e-01
2.739188002413128320e+00,5.577195844587563567e-01,4.713514815185758100e-01
2.820587137577702297e+00,5.902309543402983749e-01,6.306077731373316286e-01
2.901986272742275830e+00,6.383696366225993790e-01,5.185555972412371206e-01
2.983385407906849807e+00,6.289554621566865178e-01,2.398085134009792230e-01
3.064784543071423784e+00,6.701566034500673341e-01,5.798558397869805342e-02
3.146183678235997760e+00,6.870428295511371575e-01,1.898541805504790970e-04
3.227582813400571737e+00,6.906703071411726125e-01,5.572988654531364772e-02
3.308981948565145270e+00,7.262854647122810592e-01,1.237179109197204946e-01
