alpha_rad,P,FI
5.342130262889611958e-02,9.914958479500723953e-01,1.150604704561313972e-03
1.354418884833628878e-01,9.923035683808479890e-01,1.050398326344979382e-03
2.174624743378296698e-01,9.973357531160598199e-01,1.344771223379606509e-03
2.994830601922964242e-01,9.950052819804312554e-01,1.266725382026803867e-03
3.815036460467631785e-01,9.971103535666079321e-01,9.956685262824092626e-04
4.635242319012299328e-01,9.947012115492679385e-01,9.116394767179185083e-04
5.455448177556967426e-01,9.881761772112793718e-01,9.356102538072168023e-04
6.275654036101634414e-01,9.895336618809106310e-01,1.703504122817033235e-03
7.095859894646302513e-01,9.942816812376520375e-01,3.412064376792712725e-03
7.916065753190970611e-01,9.979662421725032928e-01,3.652591190332652588e-03
8.736271611735637599e-01,9.971978308907794020e-01,4.815444411077431965e-03
9.556477470280305697e-01,9.951874718843231049e-01,4.553035761738684697e-03
1.037668332882497380e+00,9.952635614850651180e-01,4.197648939330475386e-03
1.119688918736964078e+00,9.958543080227466593e-01,4.082174407694712237e-03
1.201709504591430777e+00,9.986354925075869859e-01,3.834116178913065612e-03
1.283730090445897698e+00,9.883211291814562038e-01,3.388511376118018108e-03
1.365750676300364397e+00,9.939307001505197636e-01,3.179962976018652770e-03
1.447771262154831096e+00,9.837403322535036576e-01,3.127333771232646692e-03
1.529791848009298016e+00,9.929922790125921273e-01,2.943774101770228659e-03
1.611812433863764715e+00,9.854713627254172437e-01,2.667834952731322224e-03
1.693833019718231414e+00,9.958590106904505745e-01,2.372563357314321202e-03
1.775853605572698335e+00,9.957012848272263073e-01,1.942919497122209049e-03
1.857874191427165034e+00,9.833727490528553217e-01,1.913417624271793486e-03
1.939894777281631733e+00,9.946638220642118888e-01,1.785898273690853574e-03
2.021915363136098875e+00,9.899222834254998160e-01,1.794334987691174150e-03
2.103935948990565574e+00,9.884686739883056239e-01,1.665130339112321249e-03
2.185956534845032273e+00,9.941707590751927004e-01,1.654235374370469514e-03
2.267977120699498972e+00,9.945698501436585071e-01,1.845468700121428345e-03
2.349997706553965671e+00,9.906277030300294495e-01,2.007455345853742350e-03
2.432018292408432814e+00,9.947493721023541458e-01,2.633792601571326858e-03
2.514038878262899512e+00,9.908133296893858466e-01,4.122829825265070421e-03
2.596059464117366211e+00,9.927447065351941990e-01,5.364198422001390139e-03
2.678080049971832910e+00,9.971837269936414394e-01,6.991979841752701992e-03
2.760100635826299609e+00,9.948103158614850505e-01,6.839256276416139264e-03
2.842121221680766308e+00,9.971997242305646880e-01,6.044117214101657302e-03
2.924141807535233006e+00,9.938820503243450677e-01,4.853348953124575309e-03
3.006162393389700149e+00,9.915953109162725099e-01,4.204640839985666033e-03
3.088182979244166848e+00,9.916607845863223414e-01,3.904668090245745800e-03
3.170203565098633547e+00,9.878247479228419170e-01,3.906068685701768323e-03
3.252224150953100246e+00,9.940337609370175631e-01,3.725469094694947112e-03
3.334244736807566944e+00,9.893187838063364214e-01,3.627161065571146009e-03
3.416265322662033643e+00,9.843946378113644924e-01,3.430968298828231209e-03
3.498285908516500786e+00,9.845677868012169265e-01,2.903897875031359772e-03
3.580306494370967485e+00,9.888524644355434212e-01,2.150894313581499726e-03
3.662327080225434184e+00,9.893589098271835525e-01,1.897777438399012636e-03
3.744347666079900883e+00,9.957139349182906329e-01,1.678683298506718083e-03
3.826368251934367581e+00,9.910819448400312037e-01,1.698039225771214369e-03
3.908388837788834280e+00,9.928084866533857245e-01,1.659719498150385563e-03
3.990409423643301423e+00,9.961902812492593462e-01,1.708003158478754247e-03
4.072430009497767678e+00,9.947737670632479379e-01,1.462927516648576719e-03
4.154450595352234821e+00,9.909062574074098961e-01,1.244156477143425199e-03
4.236471181206701075e+00,9.897121789111956724e-01,8.650701679328896094e-04
4.318491767061168218e+00,9.877075060046435206e-01,7.143810905006286278e-04
4.400512352915635361e+00,9.841132057353126905e-01,6.143142257365438513e-04
4.482532938770101616e+00,9.893329593321782411e-01,6.103100215849632847e-04
4.564553524624568759e+00,9.934258477822279776e-01,6.110294906066883252e-04
4.646574110479035014e+00,9.928829059569712623e-01,5.678822120169128374e-04
4.728594696333502156e+00,9.897884263282176187e-01,4.593477809640509474e-04
4.810615282187969299e+00,9.912072013334386478e-01,2.950554997885519205e-04
4.892635868042435554e+00,9.932867215922152049e-01,3.113483734945575758e-04
4.974656453896902697e+00,9.906541147877647724e-01,5.036291100101491147e-04
5.056677039751368952e+00,9.907146763285606950e-01,5.947782870329538455e-04
5.138697625605836095e+00,9.906603747085516165e-01,6.445735849425624419e-04
5.220718211460302349e+00,9.899112359213156909e-01,7.220631559924005306e-04
5.302738797314769492e+00,9.887570952186386375e-01,8.338311385682233489e-04
5.384759383169236635e+00,9.959984654681439675e-01,8.340073988269974684e-04
5.466779969023702890e+00,9.946632900349455797e-01,7.980324786561798561e-04
5.548800554878170033e+00,9.877851971581885770e-01,8.455444400473646977e-04
5.630821140732636287e+00,9.920990746109185077e-01,9.242034847724503325e-04
5.712841726587103430e+00,9.923927773469086722e-01,9.578731324617038596e-04
5.794862312441569685e+00,9.914755590804253949e-01,1.029309534833336860e-03
5.876882898296036828e+00,9.957599628182496332e-01,1.327606843806349284e-03
5.958903484150503971e+00,9.960096552103741008e-01,1.554042267857778980e-03
6.040924070004970226e+00,9.899879393408290706e-01,1.599321040085832342e-03
6.122944655859437368e+00,9.921650061137463616e-01,2.057463863212801412e-03
6.204965241713903623e+00,9.966649598218587647e-01,2.734017812154315632e-03
6.286985827568370766e+00,9.971344379880429099e-01,2.724035364473938094e-03
6.369006413422837909e+00,9.884307328726116282e-01,2.588208635388200216e-03
6.451026999277304164e+00,9.945649714134389141e-01,2.640084229681856007e-03
6.533047585131771307e+00,9.916708801636145987e-01,2.896277873002148923e-03
6.615068170986237561e+00,9.888276893826716263e-01,2.927281262728351121e-03
6.697088756840704704e+00,9.958157297677271425e-01,3.069176514540367193e-03
6.779109342695170959e+00,9.854575615768702557e-01,3.064679425139529758e-03
6.861129928549638102e+00,9.912279306235277643e-01,3.172555417023838285e-03
6.943150514404105245e+00,9.862895188101334920e-01,2.920040834796834139e-03
7.025171100258571499e+00,9.908308783787463936e-01,2.609640227545993642e-03
7.107191686113038642e+00,9.817515625232065002e-01,2.281369495267914892e-03
7.189212271967504897e+00,9.909161756569502266e-01,1.996718240223206535e-03
7.271232857821972040e+00,9.917792876175328676e-01,1.755763323575069328e-03
7.353253443676438295e+00,9.874822303354919839e-01,1.711732641251774651e-03
7.435274029530905437e+00,9.871282024264244059e-01,1.645189486912308893e-03
7.517294615385372580e+00,9.846516337515922590e-01,1.516156122653169146e-03
7.599315201239838835e+00,9.879764501161837353e-01,1.259486483439895520e-03
7.681335787094305978e+00,9.873766938779615643e-01,1.190431556207727920e-03
7.763356372948772233e+00,9.800195136373263116e-01,9.471444108809473454e-04
7.845376958803239376e+00,9.942763037166566509e-01,7.013100092487236596e-04
7.927397544657706518e+00,9.868509618530325600e-01,6.384663029088882618e-04
8.009418130512171885e+00,9.882727925177640094e-01,5.592060796777123706e-04
