alpha_rad,P,FI
5.342130262889611958e-02,9.713364475519546959e-01,2.944306112777937343e-02
1.354418884833628878e-01,9.769819828828345543e-01,1.620663482660122390e-01
2.174624743378296698e-01,9.447938959699268002e-01,3.089125218206435486e-01
2.994830601922964242e-01,9.617277513483993845e-01,4.563030605622657165e-01
3.815036460467631785e-01,9.339033770592591877e-01,5.763182856717818936e-01
4.635242319012299328e-01,9.240932243681742042e-01,6.634741877203780280e-01
5.455448177556967426e-01,9.067717364555356596e-01,7.473097479539619892e-01
6.275654036101634414e-01,8.916500750607200265e-01,7.995735975680912100e-01
7.095859894646302513e-01,8.811475438223428380e-01,8.427371297479709922e-01
7.916065753190970611e-01,8.553974100996648566e-01,8.660020612897965098e-01
8.736271611735637599e-01,8.096127365193978020e-01,8.830284982598610721e-01
9.556477470280305697e-01,7.548702969479483826e-01,8.956371744307932703e-01
1.037668332882497380e+00,7.368217515568513676e-01,9.090541622575554204e-01
1.119688918736964078e+00,7.157418389330558739e-01,9.183063645531645003e-01
1.201709504591430777e+00,6.911581959465269431e-01,9.315864170048291371e-01
1.283730090445897698e+00,6.367126665938698249e-01,9.432401464720452378e-01
1.365750676300364397e+00,5.884342384454012143e-01,9.484062145062025495e-01
1.447771262154831096e+00,5.755226110062059419e-01,9.527870190364858827e-01
1.529791848009298016e+00,5.108203056293205702e-01,9.511109516626525817e-01
1.611812433863764715e+00,4.752366700471154504e-01,9.472701797748787067e-01
1.693833019718231414e+00,4.481672493734989993e-01,9.450475396622487478e-01
1.775853605572698335e+00,3.965231915045755451e-01,9.390459748977946219e-01
1.857874191427165034e+00,3.623601234414365879e-01,9.345220425952676102e-01
1.939894777281631733e+00,3.060525496135313439e-01,9.268209015681776464e-01
2.021915363136098875e+00,2.996615956377135515e-01,9.179592170453826361e-01
2.103935948990565574e+00,2.622512057451688583e-01,9.058173024813972463e-01
2.185956534845032273e+00,2.138447483190054621e-01,8.923609318779666122e-01
2.267977120699498972e+00,1.838839169713073762e-01,8.676780585588457217e-01
2.349997706553965671e+00,1.643416939400952070e-01,8.438865071990162559e-01
2.432018292408432814e+00,1.204983587069091977e-01,8.136563182757632351e-01
2.514038878262899512e+00,1.244309821244887898e-01,7.739853274190138244e-01
2.596059464117366211e+00,9.059516259201828847e-02,7.263656676774409293e-01
2.678080049971832910e+00,5.772056080761295976e-02,6.605295837876375975e-01
2.760100635826299609e+00,5.280610116762176481e-02,5.767692477536362494e-01
2.842121221680766308e+00,4.070751030704167911e-02,4.522003368623010999e-01
2.924141807535233006e+00,3.087153919525452775e-02,3.058206731615150109e-01
3.006162393389700149e+00,3.215640789880914313e-02,1.448397624589919108e-01
3.088182979244166848e+00,2.714330798626981428e-02,2.575475058841657575e-02
3.170203565098633547e+00,2.375586774308763999e-02,7.834051115650039754e-03
3.252224150953100246e+00,1.742037410746948012e-02,1.043016875861027259e-01
3.334244736807566944e+00,3.034741340772275850e-02,2.631148720446596090e-01
3.416265322662033643e+00,4.031212054549937474e-02,4.163865737484446772e-01
3.498285908516500786e+00,4.934079618265164308e-02,5.433249433549161012e-01
3.580306494370967485e+00,6.574075330146142426e-02,6.300237195782324440e-01
3.662327080225434184e+00,8.839277942558107504e-02,6.918193275691093547e-01
3.744347666079900883e+00,9.706994568290723546e-02,7.436369230926519469e-01
