alpha_rad,P,FI
5.342130262889611958e-02,9.844928084756240372e-01,1.954916171852616111e-02
1.354418884833628878e-01,9.730215087876989966e-01,9.654196183539928700e-02
2.174624743378296698e-01,9.598239876407554938e-01,1.594432152775150102e-01
2.994830601922964242e-01,9.393593697656733577e-01,2.290442904392531176e-01
3.815036460467631785e-01,8.808100677867795048e-01,2.524194372863257096e-01
4.635242319012299328e-01,8.720223972782951138e-01,2.916262003368298439e-01
5.455448177556967426e-01,8.362621101671648960e-01,2.953197115598732436e-01
6.275654036101634414e-01,8.060535101685657455e-01,3.169925433210356580e-01
7.095859894646302513e-01,7.839416656672171246e-01,3.194398951528459873e-01
7.916065753190970611e-01,7.488647717944260096e-01,3.378275212522459658e-01
8.736271611735637599e-01,7.262237998127666350e-01,3.561716148663592874e-01
9.556477470280305697e-01,7.230632671362675623e-01,3.858303904560348996e-01
1.037668332882497380e+00,7.024167250253193773e-01,4.404812740319413167e-01
1.119688918736964078e+00,7.135862430084857211e-01,4.508610402955678942e-01
1.201709504591430777e+00,7.128516721019579894e-01,5.099451464436698389e-01
1.283730090445897698e+00,7.087339406718724533e-01,6.193593863996535998e-01
1.365750676300364397e+00,6.673866995509399880e-01,6.730413415295333213e-01
1.447771262154831096e+00,6.529821519101468574e-01,7.848171103765025913e-01
1.529791848009298016e+00,6.187986798801489163e-01,8.224010743284561054e-01
1.611812433863764715e+00,5.774263778969253025e-01,8.959253886231584030e-01
1.693833019718231414e+00,5.157520501131623858e-01,9.093068978447048645e-01
1.775853605572698335e+00,4.727830083276243212e-01,9.288461978819876341e-01
1.857874191427165034e+00,4.176817534595168580e-01,9.162105313547510566e-01
1.939894777281631733e+00,3.452900718207461139e-01,8.820993994855689246e-01
2.021915363136098875e+00,3.071421447377724601e-01,8.451710138123186278e-01
2.103935948990565574e+00,2.561416174478841623e-01,7.630896026611863059e-01
2.185956534845032273e+00,2.202619448128692592e-01,7.046022648179369741e-01
2.267977120699498972e+00,1.910172947640829955e-01,5.834855879429826642e-01
2.349997706553965671e+00,1.791368127492321827e-01,5.061647248924828757e-01
2.432018292408432814e+00,1.987778132857293545e-01,3.900826720154741967e-01
2.514038878262899512e+00,1.877692054395981303e-01,3.150787963298336547e-01
2.596059464117366211e+00,1.820788859156425854e-01,2.637986374747839369e-01
2.678080049971832910e+00,2.008252151808969099e-01,1.761875466693248460e-01
2.760100635826299609e+00,1.946048858258673797e-01,1.224097668046415094e-01
2.842121221680766308e+00,1.894898196109473243e-01,7.431034342484853228e-02
2.924141807535233006e+00,1.586345832822636803e-01,4.174814639381057430e-02
3.006162393389700149e+00,1.408431216750751225e-01,1.956934515142200529e-02
3.088182979244166848e+00,1.205629744408926313e-01,3.721501508962055116e-03
3.170203565098633547e+00,8.413282234851161834e-02,1.845925906863544541e-03
3.252224150953100246e+00,8.293599759152568696e-02,3.584166015574721115e-02
3.334244736807566944e+00,5.178873162053485718e-02,1.834571030937131031e-01
3.416265322662033643e+00,4.639639338116572503e-02,3.226640593912140642e-01
3.498285908516500786e+00,3.232428341976791020e-02,4.779630409454636575e-01
3.580306494370967485e+00,5.473092978670655862e-02,5.677178868959069646e-01
3.662327080225434184e+00,6.904195239455862554e-02,6.334719030095220527e-01
3.744347666079900883e+00,1.079137125203331743e-01,7.158204653715481980e-01
3.826368251934367581e+00,1.408378683449472701e-01,7.681410330515370255e-01
3.908388837788834280e+00,1.650751093374262235e-01,8.231916778071490803e-01
3.990409423643301423e+00,2.365351406431690229e-01,8.489680201874713061e-01
4.072430009497767678e+00,2.706775461090710766e-01,8.314384047705691838e-01
4.154450595352234821e+00,3.300461998315770695e-01,8.179440160354181089e-01
4.236471181206701075e+00,3.778475577547629194e-01,7.372061858060477979e-01
4.318491767061168218e+00,3.881299332510829703e-01,6.981494837616155635e-01
4.400512352915635361e+00,3.875930071317246761e-01,6.099975803422780229e-01
4.482532938770101616e+00,4.226095313804210107e-01,5.832919369894168371e-01
4.564553524624568759e+00,4.384524240937913153e-01,5.511290690767990386e-01
4.646574110479035014e+00,4.343285555579729507e-01,5.555337131126698580e-01
4.728594696333502156e+00,4.470050003640683167e-01,6.077261085070743141e-01
4.810615282187969299e+00,4.619719529300664318e-01,6.996243917945909052e-01
4.892635868042435554e+00,4.895048079194285195e-01,7.414688823121111660e-01
4.974656453896902697e+00,5.238797192513339196e-01,8.394257431065803576e-01
5.056677039751368952e+00,5.634590140903087407e-01,8.655554361350760173e-01
5.138697625605836095e+00,6.164353811922947957e-01,9.141584187420636054e-01
5.220718211460302349e+00,6.715841114855448657e-01,9.106722478900045603e-01
5.302738797314769492e+00,7.233689435054834194e-01,8.954318973348464050e-01
5.384759383169236635e+00,7.791938615426009518e-01,8.581956263290491105e-01
5.466779969023702890e+00,8.101241922759756520e-01,7.854878316097210211e-01
5.548800554878170033e+00,8.539405386546196075e-01,7.305328813599410998e-01
5.630821140732636287e+00,8.818528753761468719e-01,6.492591923593777903e-01
5.712841726587103430e+00,9.120609046704006850e-01,5.943210460731755962e-01
5.794862312441569685e+00,9.166403991459128875e-01,4.915075863431502268e-01
5.876882898296036828e+00,9.208556414975931359e-01,3.021445093336918575e-01
5.958903484150503971e+00,8.874266753182870060e-01,1.757291993276348108e-01
6.040924070004970226e+00,8.612576762718674450e-01,6.370506916836410349e-02
6.122944655859437368e+00,8.658444258343139799e-01,2.260854868997322700e-02
6.204965241713903623e+00,8.370478215286381030e-01,3.682822323435579626e-03
6.286985827568370766e+00,8.544548840802060896e-01,1.780960677001884766e-05
6.369006413422837909e+00,8.370986391990969944e-01,3.798671135475968543e-03
6.451026999277304164e+00,8.334087262189685541e-01,1.580126181195891724e-02
6.533047585131771307e+00,8.619229684818056070e-01,4.720969029107397602e-02
6.615068170986237561e+00,8.774703809284041256e-01,9.681904100402372038e-02
6.697088756840704704e+00,8.695963642071341537e-01,1.950832322128608909e-01
6.779109342695170959e+00,8.785062599613917556e-01,2.773245785197082647e-01
6.861129928549638102e+00,8.930585157349475445e-01,3.918060364508076376e-01
6.943150514404105245e+00,8.920928651832231715e-01,4.635734686968625007e-01
7.025171100258571499e+00,8.635933895822301976e-01,5.854292092648234469e-01
7.107191686113038642e+00,8.480065477463014645e-01,7.004700258343043995e-01
7.189212271967504897e+00,8.049915067317726658e-01,7.559478689409753205e-01
7.271232857821972040e+00,7.692395244353077421e-01,8.539988452133348007e-01
7.353253443676438295e+00,7.199272721419696097e-01,9.125469535448226255e-01
7.435274029530905437e+00,6.567138823464064856e-01,1.016272759995390684e+00
7.517294615385372580e+00,6.097668360124445242e-01,1.067723861646007411e+00
7.599315201239838835e+00,5.789290972133873669e-01,1.144459158561249135e+00
7.681335787094305978e+00,4.924363220676155617e-01,1.182919918902813672e+00
7.763356372948772233e+00,4.836344384387099571e-01,1.209854882702341650e+00
7.845376958803239376e+00,4.619427420257000150e-01,1.212215174038154375e+00
7.927397544657706518e+00,4.484102734120284928e-01,1.176723426976127751e+00
8.009418130512171885e+00,3.745271509519969011e-01,1.162609340148167192e+00
8.091438716366639028e+00,3.785437789224982974e-01,1.068740728022057107e+00
8.173459302221106171e+00,3.848980641179999829e-01,9.945469228548577956e-01
