alpha_rad,P,FI
5.301894902031421136e-02,9.925143503127995537e-01,3.362055491402487356e-03
1.344217798393824992e-01,9.753901732901432142e-01,1.690185139375298927e-03
2.158246106584507940e-01,9.660220791237589255e-01,1.007959417542958654e-03
2.972274414775191165e-01,9.750537006975233956e-01,8.157910775262964273e-04
3.786302722965874112e-01,9.807514000013124456e-01,9.676652411605857901e-04
4.600331031156557060e-01,9.855497966589500392e-01,1.394295187555702562e-03
5.414359339347240008e-01,9.604827162466127444e-01,1.188050056331305896e-03
6.228387647537922955e-01,9.747517598348537371e-01,1.093268317696340910e-03
7.042415955728605903e-01,9.696339967066739396e-01,9.144833644436818360e-04
7.856444263919288851e-01,9.684088384584089715e-01,9.196014989316338888e-04
8.670472572109971798e-01,9.813432495646553511e-01,9.922779082541792906e-04
9.484500880300654746e-01,9.732341758902969264e-01,9.171473479514924811e-04
1.029852918849133658e+00,9.662545703472602554e-01,8.752311826416911281e-04
1.111255749668202064e+00,9.790382474731779139e-01,7.656736023954290298e-04
1.192658580487270248e+00,9.820663059271040884e-01,7.696870325392578737e-04
1.274061411306338432e+00,9.765040936318319931e-01,7.357945922036083185e-04
1.355464242125406837e+00,9.634285575371578370e-01,7.894501344046637482e-04
1.436867072944475243e+00,9.557510507200406291e-01,6.336960344004518870e-04
1.518269903763543427e+00,9.858836465396616511e-01,7.151791514896750027e-04
1.599672734582611611e+00,9.675309863422665302e-01,7.027566186592484150e-04
1.681075565401680016e+00,9.740111517132278296e-01,7.009211645009846316e-04
1.762478396220748422e+00,9.621598379457410033e-01,9.134308238129588368e-04
1.843881227039816606e+00,9.714617036398014438e-01,9.391646598812127510e-04
1.925284057858884790e+00,9.855675866891671077e-01,9.325016795321920942e-04
2.006686888677953196e+00,9.783945096956863097e-01,9.919282024268775543e-04
2.088089719497021601e+00,9.704510402719864759e-01,1.115143243225696391e-03
2.169492550316090007e+00,9.681197798711914659e-01,1.292264956633432408e-03
2.250895381135157969e+00,9.717841906269063523e-01,1.325699652627837684e-03
2.332298211954226375e+00,9.870897965752278846e-01,1.475570067608962315e-03
2.413701042773294780e+00,9.664265797412754377e-01,1.420160970905652055e-03
2.495103873592362742e+00,9.748461470175242560e-01,1.438448110832490912e-03
2.576506704411431148e+00,9.697372788933438237e-01,1.465568145427564081e-03
2.657909535230499554e+00,9.821796297777076745e-01,2.195491371349133670e-03
2.739312366049567959e+00,9.904563400591539502e-01,2.242050942597055736e-03
2.820715196868636365e+00,9.753641233667151855e-01,1.975014988011232920e-03
2.902118027687704327e+00,9.742039414174776812e-01,1.990703330716739935e-03
2.983520858506772733e+00,9.752707424983007023e-01,1.933517594075235451e-03
3.064923689325841138e+00,9.696501175473825063e-01,1.776308318003477597e-03
