alpha_rad,P,FI
5.248100509862208690e-02,1.000000000000000000e+00,nan
1.330579018156984317e-01,9.953937601319102768e-01,nan
2.136347985327747556e-01,9.888890355223018958e-01,1.054497997175772284e+01
2.942116952498510796e-01,9.558782003593396803e-01,5.306687974207379810e+00
3.747885919669274313e-01,9.128739464852493324e-01,4.657931299123569957e+00
4.553654886840037830e-01,8.693726525403379091e-01,4.221085291548819285e+00
5.359423854010800792e-01,7.981832922955318654e-01,4.179538465791597268e+00
6.165192821181564309e-01,7.294199815905346718e-01,4.102162692328495730e+00
6.970961788352327826e-01,6.582116039470050639e-01,4.150214370056978908e+00
7.776730755523091343e-01,5.749871151860834750e-01,4.057159920568382816e+00
8.582499722693854860e-01,4.992465946322716119e-01,4.083668396373866472e+00
9.388268689864618377e-01,4.196077002815499224e-01,4.013844164705358430e+00
1.019403765703538189e+00,3.335914963730354788e-01,4.059989425643005134e+00
1.099980662420614541e+00,2.580850604717171981e-01,3.975163545748253924e+00
1.180557559137690893e+00,2.026605243406281454e-01,4.101291330084624320e+00
1.261134455854767245e+00,1.378476959899677667e-01,4.332874312164761932e+00
1.341711352571843596e+00,8.634242425204539939e-02,4.097283106862689372e+00
1.422288249288919948e+00,4.731395538474490736e-02,3.165352239070993612e+00
1.502865146005996300e+00,2.088606505761769414e-02,1.592499994941347863e+00
1.583442042723072651e+00,1.030170877604251294e-02,1.322500670727146388e-01
1.664018939440149003e+00,1.040622815237215830e-02,2.727957423225867650e+00
1.744595836157225355e+00,2.105707841642203565e-02,3.376583392570108533e+00
1.825172732874301706e+00,4.618724193487593055e-02,3.232126521503051908e+00
1.905749629591378058e+00,8.980846439661242797e-02,3.612722733039217982e+00
1.986326526308454188e+00,1.279211934989443744e-01,3.684260175131341519e+00
2.066903423025530540e+00,1.939015600490423541e-01,3.911565072676565613e+00
2.147480319742606891e+00,2.689469803164236672e-01,3.910290945030901355e+00
2.228057216459683243e+00,3.329551312275656483e-01,3.989827581387447086e+00
2.308634113176759595e+00,4.022333217937095196e-01,3.975422207647428152e+00
2.389211009893835946e+00,4.945403820698681674e-01,4.017771169918074037e+00
2.469787906610912298e+00,5.795557435005124214e-01,3.988823229686085714e+00
2.550364803327988650e+00,6.526765253218983487e-01,3.931075318863678447e+00
2.630941700045065001e+00,7.294425450366659458e-01,3.928289415362746340e+00
2.711518596762141353e+00,7.915083185139429878e-01,3.855450892943400376e+00
2.792095493479217705e+00,8.499896675808035207e-01,3.815999855825603859e+00
2.872672390196294057e+00,9.038904325317840271e-01,3.652841419715381122e+00
2.953249286913370408e+00,9.394638507932507876e-01,3.143749885166901237e+00
3.033826183630446760e+00,9.757029571446537153e-01,1.967788821147254508e+00
3.114403080347523112e+00,9.799545511843609225e-01,2.155556893098070359e-01
3.194979977064599463e+00,9.877709535844441113e-01,7.083713312122080774e-01
3.275556873781675815e+00,9.697446531752543786e-01,2.176975330056059033e+00
3.356133770498752167e+00,9.544879086496492748e-01,2.813408106975676670e+00
3.436710667215828519e+00,9.122793795217990498e-01,3.275666843297591058e+00
3.517287563932904870e+00,8.710571336129437903e-01,3.617219797080942101e+00
3.597864460649981222e+00,8.114088880974528184e-01,3.723642442984305134e+00
3.678441357367057574e+00,7.531434011212032598e-01,3.827075070349332808e+00
3.759018254084133925e+00,6.751499478825245815e-01,3.853568587200337348e+00
3.839595150801210277e+00,5.892782410074470789e-01,3.857106815309942593e+00
3.920172047518286185e+00,5.185825924602186499e-01,3.837952662122782854e+00
4.000748944235362536e+00,4.437102848176405212e-01,3.868366617761776372e+00
4.081325840952438888e+00,3.685814603006402623e-01,3.868221787072767981e+00
4.161902737669515240e+00,2.921983841969706952e-01,3.899617552347419025e+00
4.242479634386591592e+00,2.210692669078391237e-01,3.873332667949024088e+00
4.323056531103667943e+00,1.561466813762568961e-01,3.891255010141138726e+00
4.403633427820744295e+00,1.059994989357160716e-01,3.766811741030282157e+00
4.484210324537820647e+00,6.023955977227160585e-02,3.449148800899985545e+00
4.564787221254896998e+00,3.968505570058240145e-02,2.784521659575768027e+00
4.645364117971973350e+00,1.214194545894857306e-02,1.229020128476487228e+00
4.725941014689049702e+00,4.855113102788346721e-03,6.546972181627236376e-02
4.806517911406126053e+00,2.572368235826518260e-02,1.728915425525924698e+00
4.887094808123202405e+00,5.066928537190752008e-02,2.865342549352069224e+00
4.967671704840278757e+00,7.385063728223402457e-02,3.411767453083440316e+00
5.048248601557355109e+00,1.240050992886707060e-01,3.597953630797632307e+00
5.128825498274431460e+00,1.808965666415835449e-01,3.706335858336469169e+00
5.209402394991507812e+00,2.379103303786498924e-01,3.790841443599229255e+00
5.289979291708584164e+00,3.087516595301324496e-01,3.882693163700026595e+00
5.370556188425660515e+00,3.928350054733207863e-01,3.937667868635681412e+00
5.451133085142736867e+00,4.591322741157033982e-01,3.970442325798276162e+00
5.531709981859813219e+00,5.410268467877089593e-01,3.999030381539210754e+00
5.612286878576889571e+00,6.300290716570450256e-01,4.014062304447842067e+00
5.692863775293965922e+00,7.106361578417756952e-01,3.950520416504300858e+00
5.773440672011042274e+00,7.692197244508230947e-01,3.848584495551420126e+00
5.854017568728118626e+00,8.327427759978135446e-01,3.795887640304966393e+00
5.934594465445194977e+00,8.886474246336268923e-01,3.572273605784693551e+00
6.015171362162271329e+00,9.315421474796992118e-01,3.398767556907876131e+00
6.095748258879347681e+00,9.702665942331381022e-01,2.920664648984393263e+00
6.176325155596424032e+00,9.797492571124555294e-01,2.076599212902895619e+00
6.256902052313500384e+00,9.856134914220251453e-01,2.493102141596741095e-01
6.337478949030576736e+00,9.882258831889728645e-01,8.466680096742231765e-01
6.418055845747653088e+00,9.678541124845360111e-01,2.391125250878078923e+00
6.498632742464729439e+00,9.493046583571237429e-01,3.144439954069905507e+00
6.579209639181805791e+00,8.997197062534325607e-01,3.593088591352627592e+00
6.659786535898882143e+00,8.389440519990352119e-01,3.742947096411014307e+00
6.740363432615958494e+00,7.960099871720512921e-01,3.815625808741907043e+00
6.820940329333034846e+00,7.256963168868069136e-01,3.898632288691001424e+00
6.901517226050111198e+00,6.560130226201846826e-01,3.960068895479494699e+00
6.982094122767187550e+00,5.665722697264438112e-01,3.961546623204986073e+00
7.062671019484263901e+00,4.939820663068710260e-01,3.991549462897306721e+00
7.143247916201340253e+00,4.009234541565470655e-01,3.925934948388947632e+00
7.223824812918416605e+00,3.382449395291029504e-01,3.874517898426244056e+00
