alpha_rad,P,FI
5.248100509862208690e-02,8.412589339471445715e-01,2.968803333488434504e-02
1.330579018156984317e-01,8.378074547427410979e-01,1.881150485403049744e-01
2.136347985327747556e-01,8.329159616212604700e-01,4.939967536424930139e-01
2.942116952498510796e-01,8.080349271596778404e-01,8.339759374576155571e-01
3.747885919669274313e-01,7.751497675716053637e-01,1.204127963456625761e+00
4.553654886840037830e-01,7.423145981316026099e-01,1.486566026638886928e+00
5.359423854010800792e-01,6.882391457252422517e-01,1.793759143978559401e+00
6.165192821181564309e-01,6.361853192124842238e-01,2.009102642966843266e+00
6.970961788352327826e-01,5.820241466206825809e-01,2.218670972204336955e+00
7.776730755523091343e-01,5.186942284947310133e-01,2.291012069876755319e+00
8.582499722693854860e-01,4.612411553681543541e-01,2.375932578369912118e+00
9.388268689864618377e-01,4.005826192418059928e-01,2.353427055574176752e+00
1.019403765703538189e+00,3.353566529858028056e-01,2.346096081835545188e+00
1.099980662420614541e+00,2.777445462004177190e-01,2.204747479360085194e+00
1.180557559137690893e+00,2.355945908811941658e-01,2.111129472016497477e+00
1.261134455854767245e+00,1.861433196551661451e-01,1.956531301697878700e+00
1.341711352571843596e+00,1.470150362757055573e-01,1.448730687493949176e+00
1.422288249288919948e+00,1.174959743182338867e-01,6.991649558872912174e-01
1.502865146005996300e+00,9.732350015696508705e-02,1.642757396374599221e-01
1.583442042723072651e+00,8.899316783482838500e-02,5.279291833445204536e-03
1.664018939440149003e+00,8.913625628060418971e-02,2.390385865566777568e-01
1.744595836157225355e+00,9.728417906089127654e-02,5.448388859446146038e-01
1.825172732874301706e+00,1.163825458196670326e-01,8.513547470162330377e-01
1.905749629591378058e+00,1.495905463629786103e-01,1.322315889292979385e+00
1.986326526308454188e+00,1.785748198273102993e-01,1.659475636277210064e+00
2.066903423025530540e+00,2.287247507875980190e-01,2.003625098657781045e+00
2.147480319742606891e+00,2.858721052337881985e-01,2.164015963339763982e+00
2.228057216459683243e+00,3.346231889237797907e-01,2.301401182395061085e+00
2.308634113176759595e+00,3.871176441402690016e-01,2.329438710519447397e+00
2.389211009893835946e+00,4.573425215339039229e-01,2.338494836991479087e+00
2.469787906610912298e+00,5.217214315482646692e-01,2.256231487667001545e+00
2.550364803327988650e+00,5.775760401098184449e-01,2.110368761449437969e+00
2.630941700045065001e+00,6.358529516124654668e-01,1.946549120225255392e+00
2.711518596762141353e+00,6.830508433309671057e-01,1.695038641651156031e+00
2.792095493479217705e+00,7.276118380443412637e-01,1.409005146037077383e+00
2.872672390196294057e+00,7.685258960212280055e-01,1.039293990409068780e+00
2.953249286913370408e+00,7.957458713686381691e-01,5.854475537975548649e-01
3.033826183630446760e+00,8.232381299266591235e-01,2.072094991550914589e-01
3.114403080347523112e+00,8.262179840461593150e-01,1.282422067823545467e-02
3.194979977064599463e+00,8.320334109194923444e-01,4.660331857376621978e-02
3.275556873781675815e+00,8.184268038846909121e-01,2.446120668553529165e-01
3.356133770498752167e+00,8.069615176147768576e-01,5.151990053463572083e-01
3.436710667215828519e+00,7.748195895570675340e-01,8.549428745282355857e-01
3.517287563932904870e+00,7.432962543408151435e-01,1.246562168302842943e+00
3.597864460649981222e+00,6.977865701384797781e-01,1.562705790646121029e+00
3.678441357367057574e+00,6.534649856829728432e-01,1.840490605143755509e+00
3.759018254084133925e+00,5.941089514042615649e-01,2.032478326348015063e+00
3.839595150801210277e+00,5.288347459168015741e-01,2.160250503716385939e+00
3.920172047518286185e+00,4.751295629477501059e-01,2.224592629138184119e+00
4.000748944235362536e+00,4.180490389244761462e-01,2.272981478451817416e+00
4.081325840952438888e+00,3.607806535014396188e-01,2.258910922549467237e+00
4.161902737669515240e+00,3.028909868642109537e-01,2.212282524644906267e+00
4.242479634386591592e+00,2.486977033834552597e-01,2.069697241464813153e+00
4.323056531103667943e+00,1.990381559120353583e-01,1.870269483614791728e+00
4.403633427820744295e+00,1.611328701678377828e-01,1.518416990539896538e+00
4.484210324537820647e+00,1.260752190612134394e-01,1.047847463636430332e+00
4.564787221254896998e+00,1.102645924564136515e-01,5.396330545265507483e-01
4.645364117971973350e+00,8.939873951739531199e-02,1.282769929268159914e-01
4.725941014689049702e+00,8.377519651574943937e-02,5.397776694890986729e-03
4.806517911406126053e+00,1.000959996846335909e-01,2.375811795018706873e-01
4.887094808123202405e+00,1.188356747640739036e-01,6.849280410092889460e-01
4.967671704840278757e+00,1.364670564175025358e-01,1.176244442123702605e+00
5.048248601557355109e+00,1.746888311573114860e-01,1.561375951769941484e+00
5.128825498274431460e+00,2.178545110461348744e-01,1.852104394038941670e+00
5.209402394991507812e+00,2.612721271340096019e-01,2.063133808925926349e+00
5.289979291708584164e+00,3.151122445278765616e-01,2.221994058102907399e+00
5.370556188425660515e+00,3.791854071817248872e-01,2.305810704112494225e+00
5.451133085142736867e+00,4.293018708669215089e-01,2.326222974082227335e+00
5.531709981859813219e+00,4.919088860246507711e-01,2.294856335550924609e+00
5.612286878576889571e+00,5.595476437092409272e-01,2.203552469972217764e+00
5.692863775293965922e+00,6.207622666694726510e-01,2.016883414383295214e+00
5.773440672011042274e+00,6.653618767127736922e-01,1.767480777105200795e+00
5.854017568728118626e+00,7.138346177626736511e-01,1.490285254972674833e+00
5.934594465445194977e+00,7.564082417038954231e-01,1.119881169337879845e+00
6.015171362162271329e+00,7.892759994701752380e-01,7.635870759400655849e-01
6.095748258879347681e+00,8.185476428087531398e-01,4.073399138385087603e-01
6.176325155596424032e+00,8.257999938215487834e-01,1.491824462258904971e-01
6.256902052313500384e+00,8.304896927185055899e-01,1.006416383698243051e-02
6.337478949030576736e+00,8.324559591696230054e-01,4.328579535917855686e-02
6.418055845747653088e+00,8.171826028590056801e-01,2.593536433395260410e-01
6.498632742464729439e+00,8.032335095700066097e-01,6.009962229273226875e-01
6.579209639181805791e+00,7.654365802196588797e-01,1.027359343739199904e+00
6.659786535898882143e+00,7.193947448265637368e-01,1.385124950792082643e+00
6.740363432615958494e+00,6.867511707123313824e-01,1.672570891747647615e+00
6.820940329333034846e+00,6.332354873787622296e-01,1.928063284858937187e+00
6.901517226050111198e+00,5.802683240767624318e-01,2.127441510491068666e+00
6.982094122767187550e+00,5.121715591067035334e-01,2.244618733028192814e+00
7.062671019484263901e+00,4.571495589491816891e-01,2.326290487084980985e+00
7.143247916201340253e+00,3.862657832190213303e-01,2.303295682562830571e+00
7.223824812918416605e+00,3.386586454167424542e-01,2.237978203648398168e+00
7.304401709635492956e+00,2.833679216405149970e-01,2.082513533902309533e+00
7.384978606352569308e+00,2.336670375842025416e-01,1.887673976269701681e+00
7.465555503069645660e+00,1.815207840198103661e-01,1.556060730203486564e+00
7.546132399786722011e+00,1.549080756024869832e-01,1.194714517611406457e+00
7.626709296503798363e+00,1.272796249723462947e-01,7.797599422311938255e-01
7.707286193220874715e+00,1.033993558877453617e-01,3.826666561427061741e-01
7.787863089937950178e+00,9.672278555657348731e-02,8.081754995677521702e-02
7.868439986655026530e+00,9.871772102326724363e-02,3.848633472471569422e-03
7.949016883372102882e+00,1.070718568030348677e-01,1.527287168904129522e-01
8.029593780089179234e+00,1.292742318076471053e-01,4.718245257089775935e-01
