alpha_rad,P,FI
5.254610085031908434e-02,9.883616689097344254e-01,nan
1.332229425598999151e-01,9.918797615872335660e-01,6.056953775372259763e+00
2.138997842694807250e-01,9.851931297930686116e-01,6.777742357289512576e+00
2.945766259790615349e-01,9.460995796780056200e-01,4.645069843037768820e+00
3.752534676886423726e-01,9.075616118451642622e-01,4.394807566367439300e+00
4.559303093982232102e-01,8.650245242438350246e-01,4.108312666797155011e+00
5.366071511078039924e-01,8.015603646860698372e-01,4.159597274022695856e+00
6.172839928173848856e-01,7.265738400575751932e-01,4.091665083104925493e+00
6.979608345269656677e-01,6.503427211627985649e-01,4.147436893147095738e+00
7.786376762365464499e-01,5.698759344448235398e-01,4.077439580975948274e+00
8.593145179461273431e-01,4.860277450298431945e-01,4.106718399991998503e+00
9.399913596557081252e-01,4.169801776974115248e-01,4.044004249690858366e+00
1.020668201365289018e+00,3.272499205620515439e-01,4.112035792577843019e+00
1.101345043074869912e+00,2.638828326376209121e-01,4.083419224241370493e+00
1.182021884784450805e+00,1.892729520410877664e-01,4.282394586242864953e+00
1.262698726494031476e+00,1.296369141985465601e-01,4.574505135485389395e+00
1.343375568203612369e+00,7.883512731608013913e-02,4.461094786612622265e+00
1.424052409913193262e+00,4.018372038252518430e-02,3.837436115843449347e+00
1.504729251622773933e+00,8.938712654755247983e-03,2.699089415921858137e+00
1.585406093332354827e+00,3.389626223548504545e-03,1.916999821887776179e+01
1.666082935041935720e+00,1.205547580732650031e-02,3.842554283188407638e+00
1.746759776751516391e+00,1.763253551545689371e-02,3.904703792854396838e+00
1.827436618461097284e+00,4.717537165472084765e-02,3.492973903431556337e+00
1.908113460170678177e+00,8.307970265283690092e-02,3.797573070760254854e+00
1.988790301880258848e+00,1.191965704527169212e-01,3.791942067684325401e+00
2.069467143589839964e+00,1.886245375525543444e-01,3.945946287136646635e+00
2.150143985299420635e+00,2.654857908428929214e-01,3.910960871161498709e+00
2.230820827009001306e+00,3.307785887372209910e-01,3.913191013165282506e+00
2.311497668718582421e+00,4.133215926747456082e-01,3.841130480604777020e+00
2.392174510428163092e+00,4.843953025907536958e-01,3.844588387862449164e+00
2.472851352137743763e+00,5.565549548729020746e-01,3.855067109069478359e+00
2.553528193847324879e+00,6.443789434068063482e-01,3.788708030148877359e+00
2.634205035556905550e+00,7.054721064977131917e-01,3.799621721782660000e+00
2.714881877266486221e+00,7.797735066726818598e-01,3.686570790624375871e+00
2.795558718976067336e+00,8.479381121665133803e-01,3.540490777088876939e+00
2.876235560685648007e+00,8.906810573342568427e-01,3.134287255135105088e+00
2.956912402395228678e+00,9.263760825606025540e-01,2.395557742219959874e+00
3.037589244104809794e+00,9.528027808258971998e-01,1.176547226345701080e+00
3.118266085814390465e+00,9.714336169853884373e-01,7.684465289759467854e-02
3.198942927523971136e+00,9.682589370152275832e-01,4.093420803398201691e-01
3.279619769233552251e+00,9.636073646733478437e-01,1.544917905098695643e+00
3.360296610943132922e+00,9.422362882942828533e-01,2.335104917751682940e+00
3.440973452652713593e+00,8.991160809005475096e-01,2.823219124250709200e+00
3.521650294362294709e+00,8.528700140952274467e-01,3.339121130335952259e+00
3.602327136071875380e+00,8.087075426528953503e-01,3.564896286511503476e+00
3.683003977781456051e+00,7.412963172919199151e-01,3.829018000341520178e+00
3.763680819491037166e+00,6.643615560995075331e-01,3.886612809947599168e+00
3.844357661200617837e+00,5.891463259296016997e-01,3.980369178724701307e+00
3.925034502910198508e+00,5.030924938930330104e-01,3.993072340625221539e+00
4.005711344619779624e+00,4.169417266854174020e-01,3.945715880487875360e+00
4.086388186329360295e+00,3.472937988334984794e-01,3.903961850896766617e+00
4.167065028038940966e+00,2.723128212208906218e-01,3.824301172008489402e+00
4.247741869748521637e+00,2.111742310340066486e-01,3.774674529419275171e+00
4.328418711458102308e+00,1.455651051457245160e-01,3.697697811959933745e+00
4.409095553167682979e+00,1.025426489481049697e-01,3.570037642790535148e+00
4.489772394877263650e+00,5.731090999567340499e-02,3.362000022763770524e+00
4.570449236586845210e+00,3.149798335492635937e-02,2.733985645864231984e+00
4.651126078296425881e+00,1.213703495220988006e-02,1.161584382012793348e+00
4.731802920006006552e+00,1.272694470713571198e-03,1.542859073718293728e-01
4.812479761715587223e+00,2.256481028736700284e-02,2.034168618883263058e+00
4.893156603425167894e+00,5.020814351941211423e-02,3.066248589642419198e+00
4.973833445134748565e+00,7.183039294793813756e-02,3.525966203436291302e+00
5.054510286844330125e+00,1.167346087649917263e-01,3.766849928480188847e+00
5.135187128553910796e+00,1.776033706942554968e-01,3.846550241086382549e+00
5.215863970263491467e+00,2.428771225692210878e-01,3.880647871675536820e+00
5.296540811973072138e+00,3.122043385885567846e-01,3.922210926803297415e+00
5.377217653682652809e+00,3.926572215161909241e-01,3.920897242850458042e+00
5.457894495392234369e+00,4.675499707140111094e-01,3.907997121960551379e+00
5.538571337101815040e+00,5.461518527230606601e-01,3.894790211613834874e+00
5.619248178811395711e+00,6.221674144246834848e-01,3.910635205755137012e+00
