alpha_rad,P,FI
5.254610085031908434e-02,9.047144023871545038e-01,6.368620478903058713e-02
1.332229425598999151e-01,9.078148266899928043e-01,4.039834878532820861e-01
2.138997842694807250e-01,9.019220326054725456e-01,9.910693392784287736e-01
2.945766259790615349e-01,8.674696733381399572e-01,1.513564036747323982e+00
3.752534676886423726e-01,8.335069375594219565e-01,2.024572900591798508e+00
4.559303093982232102e-01,7.960198579794498519e-01,2.333043642016566999e+00
5.366071511078039924e-01,7.400901708763854003e-01,2.685255466056220897e+00
6.172839928173848856e-01,6.740060552331207377e-01,2.870234077977929843e+00
6.979608345269656677e-01,6.068251037006159310e-01,3.069871075124301019e+00
7.786376762365464499e-01,5.359113433249029779e-01,3.120684906926523006e+00
8.593145179461273431e-01,4.620176207763540543e-01,3.204069788192237311e+00
9.399913596557081252e-01,4.011673887234792901e-01,3.179294401830519590e+00
1.020668201365289018e+00,3.220899182231367064e-01,3.221590638296722542e+00
1.101345043074869912e+00,2.662457783977295600e-01,3.146245328445882450e+00
1.182021884784450805e+00,2.004935915628449639e-01,3.182479755607150018e+00
1.262698726494031476e+00,1.479375511166788337e-01,3.167828360261984777e+00
1.343375568203612369e+00,1.031669583220679864e-01,2.654282737542251080e+00
1.424052409913193262e+00,6.910425094595738782e-02,1.572841426478206239e+00
1.504729251622773933e+00,4.156865419459084693e-02,4.402186871735438434e-01
1.585406093332354827e+00,3.667835595432556578e-02,2.114769100775639940e-02
1.666082935041935720e+00,4.431539486069870082e-02,6.610551403443272189e-01
1.746759776751516391e+00,4.923034538717543929e-02,1.285254015035721897e+00
1.827436618461097284e+00,7.526585256035708826e-02,1.741255017848997166e+00
1.908113460170678177e+00,1.069076171777818274e-01,2.338394067325786807e+00
1.988790301880258848e+00,1.387366862029758841e-01,2.635603020866058355e+00
2.069467143589839964e+00,1.999221569183231018e-01,2.934410984351481844e+00
2.150143985299420635e+00,2.676584332171564884e-01,3.013504085641531827e+00
2.230820827009001306e+00,3.251996624993235274e-01,3.066068612313971542e+00
2.311497668718582421e+00,3.979431513431447298e-01,3.019829879075443202e+00
2.392174510428163092e+00,4.605789820948012481e-01,3.001078098168539654e+00
2.472851352137743763e+00,5.241718320077202176e-01,2.957245977144227655e+00
2.553528193847324879e+00,6.015693463382064676e-01,2.819558088564493303e+00
2.634205035556905550e+00,6.554095219526148153e-01,2.698911216477796859e+00
2.714881877266486221e+00,7.208898511977078760e-01,2.438808537846516522e+00
2.795558718976067336e+00,7.809619467448607466e-01,2.096836180142177319e+00
2.876235560685648007e+00,8.186304444568553995e-01,1.577248613920368525e+00
2.956912402395228678e+00,8.500877521082451649e-01,9.377972099113232041e-01
3.037589244104809794e+00,8.733770696607721096e-01,3.370041710481385677e-01
3.118266085814390465e+00,8.897960507696349719e-01,1.690278291796296420e-02
3.198942927523971136e+00,8.869982691773042882e-01,9.466042431345632335e-02
3.279619769233552251e+00,8.828989320485771675e-01,4.527562308751520992e-01
3.360296610943132922e+00,8.640650323599055049e-01,9.108038932695878831e-01
3.440973452652713593e+00,8.260640610375683535e-01,1.360037491029608914e+00
3.521650294362294709e+00,7.853083326990449864e-01,1.898358001637976411e+00
3.602327136071875380e+00,7.463888350380153414e-01,2.282185100949627454e+00
3.683003977781456051e+00,6.869806782461208572e-01,2.661343813599389208e+00
3.763680819491037166e+00,6.191796209119561079e-01,2.854104039509970825e+00
3.844357661200617837e+00,5.528939516759393547e-01,3.031036494748660548e+00
3.925034502910198508e+00,4.770564406561298987e-01,3.107078241803424845e+00
4.005711344619779624e+00,4.011335026201318654e-01,3.100273216989000158e+00
4.086388186329360295e+00,3.397541849189488761e-01,3.063438296076873790e+00
4.167065028038940966e+00,2.736749577491954244e-01,2.961736733698097979e+00
4.247741869748521637e+00,2.197947481489640476e-01,2.840080484698498164e+00
4.328418711458102308e+00,1.619747453693289041e-01,2.639151484275047199e+00
4.409095553167682979e+00,1.240599202096574066e-01,2.317732339476742176e+00
4.489772394877263650e+00,8.419809860254437450e-02,1.833298720246465896e+00
4.570449236586845210e+00,6.144968563542275997e-02,1.072565813012267499e+00
4.651126078296425881e+00,4.438727129435050128e-02,2.633642617483010762e-01
4.731802920006006552e+00,3.481274658709156838e-02,2.814080353708675597e-02
4.812479761715587223e+00,5.357705992056783356e-02,6.197031016810735649e-01
4.893156603425167894e+00,7.793857339411791596e-02,1.440282728466123263e+00
4.973833445134748565e+00,9.699382683840479524e-02,2.109799902088432599e+00
5.054510286844330125e+00,1.365670088951266847e-01,2.575648836756955440e+00
5.135187128553910796e+00,1.902094242800808910e-01,2.830084386921987161e+00
5.215863970263491467e+00,2.477338686885345587e-01,2.972270533397747272e+00
5.296540811973072138e+00,3.088305495034557868e-01,3.064884551960976200e+00
5.377217653682652809e+00,3.797320567484452902e-01,3.083181819206356256e+00
5.457894495392234369e+00,4.457335299911466819e-01,3.058203571834323231e+00
5.538571337101815040e+00,5.150037873633684926e-01,3.001326575480923964e+00
5.619248178811395711e+00,5.819947726779335362e-01,2.931026950692001698e+00
5.699925020520976382e+00,6.542145438402722224e-01,2.794489619214991283e+00
5.780601862230557053e+00,7.147574370343726669e-01,2.573880920840759590e+00
5.861278703940137724e+00,7.617783843020260459e-01,2.292774158918414074e+00
5.941955545649719284e+00,8.217819800634682537e-01,1.842034955182196398e+00
6.022632387359299955e+00,8.570174163253879707e-01,1.308067270907753432e+00
6.103309229068880626e+00,8.810791263324845302e-01,7.706008885209143511e-01
6.183986070778461297e+00,8.972676736356421934e-01,2.896091833273553573e-01
6.264662912488041968e+00,9.039679960174474838e-01,1.158683389383540450e-02
6.345339754197622639e+00,9.029941736418800602e-01,1.276377566089266224e-01
6.426016595907204199e+00,8.792775228994054171e-01,6.143506601521084853e-01
6.506693437616784870e+00,8.608859717907750841e-01,1.261498281411530531e+00
6.587370279326365541e+00,8.150548222179704316e-01,1.821042848052721874e+00
6.668047121035946212e+00,7.705622619227077141e-01,2.216300895529963011e+00
6.748723962745526883e+00,7.204941529114889942e-01,2.480902144886114602e+00
6.829400804455107554e+00,6.628730783872784915e-01,2.729294559708966172e+00
6.910077646164689114e+00,5.993008904681630389e-01,2.905969034613665958e+00
6.990754487874269785e+00,5.214921557268203944e-01,3.024653483310199231e+00
7.071431329583850456e+00,4.496475543907250128e-01,3.103971317966341292e+00
7.152108171293431127e+00,3.867577108772918271e-01,3.087867139921137039e+00
7.232785013003011798e+00,3.165379063141906535e-01,3.059114569342257894e+00
7.313461854712592469e+00,2.494622069807679865e-01,2.889213267152251241e+00
7.394138696422174029e+00,1.992842258082737350e-01,2.735930941355609658e+00
7.474815538131754700e+00,1.406648626569781402e-01,2.363365746498982123e+00
7.555492379841335371e+00,1.106487146848142422e-01,1.961045816186804958e+00
