alpha_rad,P,FI
5.301654198218958003e-02,1.000000000000000000e+00,3.869211722427464917e+00
1.344156771467634737e-01,9.803635123052361067e-01,5.783893178261428680e+00
2.158148123113373673e-01,9.161433751649448176e-01,5.315991657684626226e+00
2.972139474759112332e-01,8.454166899907012978e-01,5.480157615421615169e+00
3.786130826404851546e-01,7.881388480325710599e-01,5.251187694929555505e+00
4.600122178050590205e-01,6.663848507613813199e-01,5.372829750691381356e+00
5.414113529696329419e-01,6.112371509445362339e-01,4.933263348305077400e+00
6.228104881342069188e-01,5.074535569326509288e-01,4.729643719851464034e+00
7.042096232987806737e-01,4.067221990996095493e-01,3.924700226992633212e+00
7.856087584633546506e-01,3.584156590611951021e-01,3.672593173787068732e+00
8.670078936279284054e-01,2.822177042815733894e-01,2.834674723208848945e+00
9.484070287925023823e-01,2.329460278874857793e-01,2.599427151782931045e+00
1.029806163957076359e+00,1.860827826220339543e-01,2.046413205824807235e+00
1.111205299121650114e+00,1.372641975740679088e-01,1.844557358409143255e+00
1.192604434286224091e+00,1.257133050658535700e-01,1.578981664852511457e+00
1.274003569450797846e+00,1.069109619936563504e-01,1.754807255181987546e+00
1.355402704615371823e+00,6.883582470956146893e-02,1.569734805671207267e+00
1.436801839779945800e+00,4.383555847571495023e-02,1.208531867544452743e+00
1.518200974944519555e+00,3.779213473135613344e-02,3.844629640595981224e-01
1.599600110109093531e+00,1.219643434347814082e-02,2.853879361633155920e-01
1.680999245273667286e+00,6.369544175844366399e-03,5.145008583298083948e+01
1.762398380438241263e+00,2.122195751083493995e-02,4.533191025361321458e+00
1.843797515602815240e+00,7.760763900087913614e-02,4.404096637211576848e+00
1.925196650767388995e+00,1.161425068940865613e-01,4.694529778629388694e+00
2.006595785931962972e+00,1.903031356572020272e-01,4.624260115851615005e+00
2.087994921096536949e+00,2.948497208139300163e-01,4.109351455042276058e+00
2.169394056261110926e+00,3.545842299630733718e-01,3.781871798383336980e+00
2.250793191425684903e+00,4.412179440942113895e-01,2.916155087923496314e+00
2.332192326590258880e+00,5.152066951574698628e-01,2.487685668844232367e+00
2.413591461754832856e+00,5.518619247840157449e-01,1.565791876064268395e+00
2.494990596919406389e+00,5.639931975308030143e-01,1.020594326161335719e+00
2.576389732083980366e+00,6.001241517159373595e-01,8.211889390860271920e-01
2.657788867248554343e+00,6.613084318574877774e-01,8.030195487441840196e-01
2.739188002413128320e+00,6.468737213994326662e-01,8.893794114458848377e-01
2.820587137577702297e+00,6.905176146232913093e-01,1.308101343704954456e+00
2.901986272742275830e+00,7.555480639417720967e-01,1.189722516784033957e+00
2.983385407906849807e+00,7.410120704768751176e-01,6.200076292992826588e-01
3.064784543071423784e+00,7.991133029404690058e-01,1.623201612495396018e-01
3.146183678235997760e+00,8.236564712121622334e-01,5.589945457850079491e-04
3.227582813400571737e+00,8.301673647183190896e-01,1.623840638841901884e-01
3.308981948565145270e+00,8.826754244464101173e-01,3.888356433324572925e-01
3.390381083729719247e+00,8.695212276710391208e-01,6.216278569882983662e-01
3.471780218894293224e+00,8.515911664848327955e-01,1.602760244214149976e+00
3.553179354058867201e+00,8.174191092744931275e-01,3.085349720789529737e+00
3.634578489223441178e+00,7.757467486389856282e-01,3.834335333380367139e+00
3.715977624388015155e+00,6.690142096997978571e-01,4.743845065940535122e+00
3.797376759552588688e+00,5.519518689525053645e-01,5.048574807274440523e+00
3.878775894717162664e+00,4.967986192973217752e-01,5.155218952406084298e+00
3.960175029881736641e+00,3.560865553391419636e-01,5.189587394497553241e+00
4.041574165046310618e+00,2.791646643712459852e-01,4.526657406764074132e+00
4.122973300210883707e+00,2.320626720169285950e-01,4.263978784904962183e+00
4.204372435375457684e+00,1.478994784552184749e-01,3.393245557064291873e+00
4.285771570540031661e+00,1.005783632467502214e-01,3.124305727848643244e+00
4.367170705704605638e+00,8.930232454370505557e-02,2.185707193587677288e+00
4.448569840869179615e+00,7.524645243931019079e-02,1.929131585337587218e+00
4.529968976033753592e+00,3.555399177124779486e-02,1.572533987531818722e+00
4.611368111198327568e+00,1.458900359905888726e-02,9.292651199207045964e-01
4.692767246362901545e+00,2.201808082883718529e-02,6.068961169721217436e-02
4.774166381527475522e+00,1.729256377489358371e-02,7.589758518001201715e-01
4.855565516692048611e+00,1.629053995364461438e-02,2.441344418678915495e+00
4.936964651856622588e+00,4.755053236147164381e-02,3.026198234961153588e+00
5.018363787021196565e+00,8.465930643493248253e-02,3.342678956228045006e+00
5.099762922185770542e+00,1.018661747225189651e-01,3.959326000495323683e+00
5.181162057350344519e+00,1.843481418414538719e-01,4.056688920448869418e+00
5.262561192514918496e+00,2.464908509630170941e-01,4.304803557269292646e+00
5.343960327679492472e+00,2.987494202824471090e-01,4.225026838947202990e+00
5.425359462844066449e+00,4.102872239757330286e-01,4.098532545419299566e+00
5.506758598008640426e+00,4.994328091074321518e-01,3.874735386731851250e+00
5.588157733173214403e+00,5.925185396226774204e-01,3.164387574875959341e+00
5.669556868337788380e+00,6.728283866945031777e-01,2.707551556359792055e+00
5.750956003502361469e+00,7.061894525993004379e-01,1.690798338527659483e+00
5.832355138666935446e+00,7.216332025681252427e-01,7.984118698590800811e-01
