alpha_rad,P,FI
5.301654198218958003e-02,8.754148451577500323e-01,1.543087903682573980e-01
1.344156771467634737e-01,8.595940432657214192e-01,8.768645061538536956e-01
2.158148123113373673e-01,8.078529130305839301e-01,1.648803054007802915e+00
2.972139474759112332e-01,7.508695618317872134e-01,2.384360714576843954e+00
3.786130826404851546e-01,7.047217270199570560e-01,2.783613218361313812e+00
4.600122178050590205e-01,6.066264922543368465e-01,3.182433187255764295e+00
5.414113529696329419e-01,5.621948786600170500e-01,3.115457532632329940e+00
6.228104881342069188e-01,4.785781083888963616e-01,3.075966985241587182e+00
7.042096232987806737e-01,3.974204756511162118e-01,2.568764507339662551e+00
7.856087584633546506e-01,3.585006743140934926e-01,2.375580545925362497e+00
8.670078936279284054e-01,2.971092093084857222e-01,1.789833580193014306e+00
9.484070287925023823e-01,2.574118131531202835e-01,1.574323552732063813e+00
1.029806163957076359e+00,2.196548511705576912e-01,1.175291128389127415e+00
1.111205299121650114e+00,1.803225034157722728e-01,9.795966823402765256e-01
1.192604434286224091e+00,1.710161353478562574e-01,7.798910262465706955e-01
1.274003569450797846e+00,1.558673903444151299e-01,7.814213733764119318e-01
1.355402704615371823e+00,1.251908654308441227e-01,5.609876253591673523e-01
1.436801839779945800e+00,1.050485535529860209e-01,2.983198017968568538e-01
1.518200974944519555e+00,1.001794643708825844e-01,5.887843693785198285e-02
1.599600110109093531e+00,7.955742078452800181e-02,2.608369653327400131e-02
1.680999245273667286e+00,7.486278921794063679e-02,3.926072644828137448e-01
1.762398380438241263e+00,8.682913944533217354e-02,1.087853928099962619e+00
1.843797515602815240e+00,1.322581749361792514e-01,1.741529077568797490e+00
1.925196650767388995e+00,1.633050973975974374e-01,2.394134734582828550e+00
2.006595785931962972e+00,2.230551216426350514e-01,2.699130346403302738e+00
2.087994921096536949e+00,3.072866215912604115e-01,2.579211017979841092e+00
2.169394056261110926e+00,3.554137535945138260e-01,2.453030767304225090e+00
2.250793191425684903e+00,4.252131418427924636e-01,1.909226547254074369e+00
2.332192326590258880e+00,4.848246869931281400e-01,1.618351208027934085e+00
2.413591461754832856e+00,5.143572151744807419e-01,1.006839390066914586e+00
2.494990596919406389e+00,5.241311862536501831e-01,6.483286380044930297e-01
2.576389732083980366e+00,5.532413141552602331e-01,5.139950217312314606e-01
2.657788867248554343e+00,6.025365032986812475e-01,4.974683396691235160e-01
2.739188002413128320e+00,5.909066895521741802e-01,5.411559510807069096e-01
2.820587137577702297e+00,6.260698714421633060e-01,7.741354011865612117e-01
2.901986272742275830e+00,6.784638571492725978e-01,6.644866228134812536e-01
2.983385407906849807e+00,6.667524413153056440e-01,3.215838900933230549e-01
3.064784543071423784e+00,7.135636685967672310e-01,7.964971183399084664e-02
3.146183678235997760e+00,7.333377040080346632e-01,2.660034732858732823e-04
3.227582813400571737e+00,7.385834260486657810e-01,7.836076070091785306e-02
3.308981948565145270e+00,7.808883241346122883e-01,1.776862156581617558e-01
3.390381083729719247e+00,7.702901996397009121e-01,2.496506933870783485e-01
3.471780218894293224e+00,7.558442381037911995e-01,6.911413790306848437e-01
3.553179354058867201e+00,7.283123619469361598e-01,1.502397926549716933e+00
3.634578489223441178e+00,6.947376121120492076e-01,2.116749640367233454e+00
3.715977624388015155e+00,6.087449244054600195e-01,2.868094933152341763e+00
3.797376759552588688e+00,5.144296817424912627e-01,3.219380980196781206e+00
3.878775894717162664e+00,4.699935967328015551e-01,3.369263316842092681e+00
3.960175029881736641e+00,3.566241529552145462e-01,3.379779137130553668e+00
4.041574165046310618e+00,2.946494242216330384e-01,2.857393023107127839e+00
4.122973300210883707e+00,2.567001075545690680e-01,2.535776666826973003e+00
4.204372435375457684e+00,1.888911779415953507e-01,1.846915881905519141e+00
4.285771570540031661e+00,1.507653175198933881e-01,1.474781889821510816e+00
4.367170705704605638e+00,1.416803947363095562e-01,9.178566830035879143e-01
4.448569840869179615e+00,1.303558049501932492e-01,6.700576158103354052e-01
4.529968976033753592e+00,9.837622863298865761e-02,4.034445536865167714e-01
4.611368111198327568e+00,8.148507530166421153e-02,1.521478157104648177e-01
4.692767246362901545e+00,8.747056318116129547e-02,6.586506094192570195e-03
4.774166381527475522e+00,8.366329019477181106e-02,7.640606277768528798e-02
4.855565516692048611e+00,8.285597573948351446e-02,3.993813941977860660e-01
4.936964651856622588e+00,1.080416481834625547e-01,8.583852507598753734e-01
5.018363787021196565e+00,1.379395898214072214e-01,1.344128402120786880e+00
5.099762922185770542e+00,1.518028864858470828e-01,1.948369231958557490e+00
5.181162057350344519e+00,2.182572790298581700e-01,2.296901517399548620e+00
5.262561192514918496e+00,2.683246589670740256e-01,2.645738062414883185e+00
5.343960327679492472e+00,3.104285466487801681e-01,2.713735783701245463e+00
5.425359462844066449e+00,4.002927587794448128e-01,2.681267328863803812e+00
5.506758598008640426e+00,4.721159210394477723e-01,2.524473336765981291e+00
5.588157733173214403e+00,5.471135949793320963e-01,2.014259004013974952e+00
5.669556868337788380e+00,6.118179453831604775e-01,1.656568687267643725e+00
5.750956003502361469e+00,6.386964189060727604e-01,9.875368822818758607e-01
5.832355138666935446e+00,6.511391995359280260e-01,4.475934159758440667e-01
5.913754273831509423e+00,6.835403882179067470e-01,2.482134227931047099e-01
5.995153408996083400e+00,6.914976385793777380e-01,1.111375219275941989e-01
6.076552544160657376e+00,6.775998658346108483e-01,6.032023347706375743e-02
6.157951679325231353e+00,6.848419955721097852e-01,1.722437386056021799e-02
6.239350814489805330e+00,6.586929062155550962e-01,2.079706359006005655e-03
6.320749949654379307e+00,6.415453188988563538e-01,1.547148036845010909e-03
6.402149084818953284e+00,6.872615906757961746e-01,1.378146172857528523e-02
6.483548219983527261e+00,6.374839542095112055e-01,2.280962310189121531e-02
6.564947355148100350e+00,6.519907837660752215e-01,2.941780593890706494e-02
6.646346490312674327e+00,6.577158422377485936e-01,1.205769259047140551e-01
6.727745625477248304e+00,6.392357902226853961e-01,2.449625168702567468e-01
6.809144760641822280e+00,6.341972468117790251e-01,6.005486568764636379e-01
6.890543895806396257e+00,5.962017361731557497e-01,9.065611787583520709e-01
6.971943030970970234e+00,5.560571183326665778e-01,1.510320519160693653e+00
7.053342166135544211e+00,4.843177608174719651e-01,2.170834973661441847e+00
7.134741301300118188e+00,4.418207525669590741e-01,2.487841363306879217e+00
7.216140436464692165e+00,3.713941206635446579e-01,2.826429664708423495e+00
7.297539571629266142e+00,2.898304543841602188e-01,2.832406470057483361e+00
7.378938706793840119e+00,2.501951962461294587e-01,2.669011620906433180e+00
7.460337841958413208e+00,1.635905113196960137e-01,2.281226629310713072e+00
7.541736977122987184e+00,1.199061658061443547e-01,1.461336964774045732e+00
7.623136112287561161e+00,1.175606960150392954e-01,8.639115600217460722e-01
7.704535247452135138e+00,8.652146906170110618e-02,3.203059211423689434e-01
7.785934382616709115e+00,8.943790900843992531e-02,6.073003299194231625e-02
7.867333517781283092e+00,1.062900455192712923e-01,1.230812717913067717e-03
7.948732652945857069e+00,1.177365190639850512e-01,5.200704742204552422e-02
8.030131788110431046e+00,1.182668633723082119e-01,2.129434188200956257e-01
8.111530923275005023e+00,1.353280740835814955e-01,4.906111404765956530e-01
