alpha_rad,P,FI
5.301654198218958003e-02,1.000000000000000000e+00,3.869212442925629158e+00
1.344156771467634737e-01,9.803635123052361067e-01,5.783893319119233212e+00
2.158148123113373673e-01,9.161433751649448176e-01,5.315991669901004357e+00
2.972139474759112332e-01,8.454166899907012978e-01,5.480157641022531223e+00
3.786130826404851546e-01,7.881388480325711710e-01,5.251187711757034471e+00
4.600122178050590205e-01,6.663848507613814309e-01,5.372829765028710014e+00
5.414113529696329419e-01,6.112371509445363449e-01,4.933263349482188254e+00
6.228104881342069188e-01,5.074535569326510398e-01,4.729643721045079019e+00
7.042096232987806737e-01,4.067221990996096603e-01,3.924700239202271401e+00
7.856087584633546506e-01,3.584156590611952131e-01,3.672593172557814700e+00
8.670078936279284054e-01,2.822177042815734449e-01,2.834674721538204878e+00
9.484070287925023823e-01,2.329460278874858348e-01,2.599427150197927805e+00
1.029806163957076359e+00,1.860827826220339543e-01,2.046413201739432974e+00
1.111205299121650114e+00,1.372641975740679365e-01,1.844557354361356261e+00
1.192604434286224091e+00,1.257133050658535978e-01,1.578981663018402593e+00
1.274003569450797846e+00,1.069109619936563643e-01,1.754807247807960602e+00
1.355402704615371823e+00,6.883582470956149668e-02,1.569734774373318986e+00
1.436801839779945800e+00,4.383555847571495717e-02,1.208531822953200718e+00
1.518200974944519555e+00,3.779213473135614731e-02,3.844629541398871253e-01
1.599600110109093531e+00,1.219643434347814255e-02,2.853879533243519062e-01
1.680999245273667286e+00,6.369544175844366399e-03,5.145010712507785655e+01
1.762398380438241263e+00,2.122195751083494689e-02,4.533190994408943908e+00
1.843797515602815240e+00,7.760763900087916389e-02,4.404096628503909372e+00
1.925196650767388995e+00,1.161425068940866029e-01,4.694529787302197832e+00
2.006595785931962972e+00,1.903031356572020827e-01,4.624260116800877007e+00
2.087994921096536949e+00,2.948497208139300718e-01,4.109351450768521374e+00
2.169394056261110926e+00,3.545842299630734273e-01,3.781871794252536390e+00
2.250793191425684903e+00,4.412179440942114450e-01,2.916155082777573959e+00
2.332192326590258880e+00,5.152066951574699738e-01,2.487685662772834316e+00
2.413591461754832856e+00,5.518619247840158559e-01,1.565791869676274262e+00
2.494990596919406389e+00,5.639931975308031253e-01,1.020594324034405309e+00
2.576389732083980366e+00,6.001241517159374705e-01,8.211889335385856858e-01
2.657788867248554343e+00,6.613084318574878884e-01,8.030195301293685528e-01
2.739188002413128320e+00,6.468737213994327773e-01,8.893794051897176978e-01
2.820587137577702297e+00,6.905176146232914203e-01,1.308101327915935475e+00
2.901986272742275830e+00,7.555480639417722077e-01,1.189722527754246251e+00
2.983385407906849807e+00,7.410120704768753397e-01,6.200076451970577551e-01
3.064784543071423784e+00,7.991133029404691168e-01,1.623201645747088528e-01
3.146183678235997760e+00,8.236564712121622334e-01,5.589945625516176426e-04
3.227582813400571737e+00,8.301673647183192006e-01,1.623840684805527290e-01
3.308981948565145270e+00,8.826754244464101173e-01,3.888356654825144698e-01
3.390381083729719247e+00,8.695212276710391208e-01,6.216278737461201631e-01
3.471780218894293224e+00,8.515911664848326845e-01,1.602760227854115760e+00
3.553179354058867201e+00,8.174191092744932385e-01,3.085349731078621094e+00
3.634578489223441178e+00,7.757467486389857392e-01,3.834335337110308828e+00
3.715977624388015155e+00,6.690142096997979682e-01,4.743845063762882397e+00
3.797376759552588688e+00,5.519518689525054755e-01,5.048574806584776198e+00
3.878775894717162664e+00,4.967986192973218862e-01,5.155218952227317963e+00
3.960175029881736641e+00,3.560865553391420191e-01,5.189587394900327944e+00
4.041574165046310618e+00,2.791646643712460407e-01,4.526657406704711839e+00
4.122973300210883707e+00,2.320626720169286228e-01,4.263978786080521388e+00
4.204372435375457684e+00,1.478994784552185027e-01,3.393245553500794376e+00
4.285771570540031661e+00,1.005783632467502353e-01,3.124305722513822214e+00
4.367170705704605638e+00,8.930232454370506945e-02,2.185707195650999246e+00
4.448569840869179615e+00,7.524645243931020466e-02,1.929131577052382918e+00
4.529968976033753592e+00,3.555399177124780180e-02,1.572533949610817716e+00
4.611368111198327568e+00,1.458900359905889073e-02,9.292650897340009042e-01
4.692767246362901545e+00,2.201808082883718876e-02,6.068960864162410707e-02
4.774166381527475522e+00,1.729256377489358718e-02,7.589758301238485050e-01
4.855565516692048611e+00,1.629053995364461785e-02,2.441344390669863973e+00
4.936964651856622588e+00,4.755053236147165768e-02,3.026198229240528281e+00
5.018363787021196565e+00,8.465930643493249641e-02,3.342678953066816394e+00
5.099762922185770542e+00,1.018661747225189929e-01,3.959325991534786038e+00
5.181162057350344519e+00,1.843481418414538997e-01,4.056688916596140615e+00
5.262561192514918496e+00,2.464908509630170941e-01,4.304803554715025626e+00
5.343960327679492472e+00,2.987494202824471645e-01,4.225026837010807945e+00
5.425359462844066449e+00,4.102872239757331396e-01,4.098532543553161211e+00
5.506758598008640426e+00,4.994328091074322629e-01,3.874735388134627367e+00
5.588157733173214403e+00,5.925185396226775314e-01,3.164387577123269679e+00
5.669556868337788380e+00,6.728283866945032887e-01,2.707551563800008942e+00
5.750956003502361469e+00,7.061894525993005489e-01,1.690798347697824555e+00
5.832355138666935446e+00,7.216332025681253537e-01,7.984118741988213142e-01
5.913754273831509423e+00,7.618489607320636514e-01,4.606029049140401010e-01
5.995153408996083400e+00,7.717253532103685032e-01,2.068938208417029356e-01
6.076552544160657376e+00,7.544756938473531349e-01,1.099912231249531996e-01
6.157951679325231353e+00,7.634644917884951809e-01,3.053659311808597926e-02
6.239350814489805330e+00,7.310087240667599850e-01,3.654371039410209479e-03
6.320749949654379307e+00,7.097254547585902795e-01,2.717717742939057199e-03
6.402149084818953284e+00,7.664676486325099347e-01,2.438791909027439309e-02
6.483548219983527261e+00,7.046845637664302942e-01,4.080531476357183301e-02
6.564947355148100350e+00,7.226901732179359383e-01,5.217393513001439970e-02
6.646346490312674327e+00,7.297960102670340010e-01,2.132713964522999772e-01
6.727745625477248304e+00,7.068589103356310854e-01,4.241210845738196955e-01
6.809144760641822280e+00,7.006051631259117007e-01,1.019357936044458457e+00
6.890543895806396257e+00,6.534458356655558076e-01,1.483770923173993284e+00
6.971943030970970234e+00,6.036190759592126032e-01,2.394440311253683173e+00
7.053342166135544211e+00,5.145775077320561275e-01,3.357939276424755981e+00
7.134741301300118188e+00,4.618310044087358679e-01,3.801262100723992621e+00
7.216140436464692165e+00,3.744187670143807600e-01,4.348738680467379325e+00
7.297539571629266142e+00,2.731834478336284122e-01,4.502738471193148406e+00
7.378938706793840119e+00,2.239888960013105834e-01,4.563363651207242633e+00
7.460337841958413208e+00,1.164967573933628764e-01,4.452987402273240747e+00
7.541736977122987184e+00,6.227655294450470252e-02,3.579817377721399740e+00
7.623136112287561161e+00,5.936539907216645262e-02,3.029422745847174969e+00
7.704535247452135138e+00,2.084008270174205965e-02,1.900821506653699089e+00
7.785934382616709115e+00,2.445991420696493404e-02,7.577345796687749990e-01
7.867333517781283092e+00,4.537647542072722334e-02,5.381634080363280857e-03
7.948732652945857069e+00,5.958362739969634558e-02,1.955026085089831556e-01
8.030131788110431046e+00,6.024188097972651978e-02,6.681551885831970017e-01
8.111530923275005023e+00,8.141794123736083300e-02,1.259442576555199977e+00
